,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
147,Rui Hachimura,LAL,59,31.6,13.1,5.0,1.4,0.8,0.4,1.7,50.9,77.0,-0.43,-0.73,-0.38,-1.28,-0.79,-0.47,-0.05,0.43,-0.20
148,Al Horford,BOS,60,27.7,9.0,6.2,2.1,0.6,0.9,1.9,42.3,89.5,-0.44,-1.47,0.07,-0.93,-1.21,0.30,0.12,-0.53,0.12
149,Bennedict Mathurin,IND,72,29.9,16.1,5.3,1.9,0.7,0.3,1.4,45.8,83.1,-0.44,-0.21,-0.26,-1.05,-1.08,-0.67,-0.41,-0.32,0.46
150,Tyus Jones,PHX,81,26.8,10.2,2.4,5.3,0.9,0.1,2.0,44.8,89.5,-0.45,-1.25,-1.41,0.64,-0.56,-1.11,0.27,-0.31,0.15
151,Kris Dunn,LAC,74,24.1,6.4,3.4,2.8,1.7,0.4,1.0,43.9,68.2,-0.45,-1.93,-1.02,-0.58,1.73,-0.61,-0.76,-0.25,-0.17
152,Kel'el Ware,MIA,64,22.2,9.3,7.4,0.9,0.6,1.1,0.5,55.4,68.7,-0.45,-1.42,0.56,-1.52,-1.19,0.79,-1.23,0.80,-0.40
153,Andrew Nembhard,IND,65,29.0,10.0,3.3,5.0,1.2,0.2,0.8,45.8,79.4,-0.46,-1.28,-1.05,0.50,0.39,-0.98,-0.99,-0.18,-0.06
154,Klay Thompson,DAL,72,27.4,14.0,3.4,2.0,0.7,0.4,3.0,41.2,90.5,-0.46,-0.58,-1.01,-0.99,-0.97,-0.51,1.22,-1.11,0.28
155,Jordan Clarkson,UTA,37,26.1,16.2,3.2,3.7,0.8,0.2,2.3,40.8,79.7,-0.46,-0.18,-1.10,-0.14,-0.59,-0.84,0.49,-1.30,-0.02
156,Malik Beasley,DET,82,27.8,16.3,2.6,1.7,0.9,0.1,3.9,43.0,67.9,-0.46,-0.16,-1.33,-1.15,-0.46,-1.18,2.11,-0.87,-0.65
157,Dennis Schroder,BKN/DET/GSW,75,28.1,13.1,2.6,5.4,0.9,0.2,1.7,40.6,83.8,-0.46,-0.74,-1.32,0.68,-0.48,-1.00,-0.08,-1.07,0.32
158,Lonzo Ball,CHI,35,22.1,7.6,3.4,3.3,1.3,0.5,1.9,36.6,81.5,-0.46,-1.71,-1.02,-0.36,0.65,-0.38,0.14,-1.01,-0.02
159,Jonas Valanciunas,SAC/WAS,81,18.8,10.4,7.7,2.0,0.5,0.6,0.1,55.0,87.9,-0.47,-1.22,0.70,-0.99,-1.59,-0.23,-1.67,0.81,0.45
160,Scoot Henderson,POR,66,26.7,12.7,3.0,5.1,1.0,0.2,1.6,41.9,76.7,-0.47,-0.81,-1.18,0.53,-0.09,-0.93,-0.19,-0.82,-0.31
161,Mike Conley,MIN,71,24.7,8.2,2.6,4.5,1.1,0.2,1.8,40.0,90.0,-0.48,-1.61,-1.35,0.24,0.12,-0.93,0.01,-0.65,0.34
162,Royce O'Neale,PHX,75,24.6,9.1,4.7,2.2,0.9,0.4,2.4,42.3,73.1,-0.48,-1.46,-0.52,-0.91,-0.45,-0.47,0.61,-0.53,-0.13
163,Jeremy Sochan,SAS,54,25.2,11.4,6.5,2.4,0.8,0.5,0.5,53.5,69.6,-0.48,-1.03,0.22,-0.81,-0.61,-0.36,-1.26,0.71,-0.74
164,Goga Bitadze,ORL,70,20.5,7.2,6.6,2.0,0.7,1.4,0.0,61.1,63.9,-0.49,-1.80,0.26,-1.02,-0.95,1.34,-1.73,0.96,-0.94
165,Guerschon Yabusele,PHI,70,27.0,11.0,5.6,2.1,0.8,0.3,1.5,50.1,72.5,-0.49,-1.12,-0.13,-0.94,-0.62,-0.65,-0.29,0.29,-0.47
166,Killian Hayes,BKN,6,27.2,9.0,3.0,5.2,0.7,0.7,1.3,41.9,83.3,-0.49,-1.47,-1.18,0.57,-1.04,-0.04,-0.44,-0.53,0.17
167,Jabari Smith,HOU,57,30.1,12.2,7.0,1.1,0.4,0.7,1.7,43.8,82.5,-0.49,-0.89,0.41,-1.47,-1.64,0.06,-0.06,-0.52,0.15
168,Justin Champagnie,WAS,62,21.6,8.8,5.7,1.0,1.0,0.6,1.2,51.1,68.5,-0.50,-1.51,-0.12,-1.51,-0.04,-0.11,-0.58,0.36,-0.45
169,Caris LeVert,ATL/CLE,64,24.9,12.1,3.2,3.4,0.9,0.5,1.7,46.7,71.0,-0.50,-0.91,-1.11,-0.32,-0.46,-0.33,-0.12,-0.11,-0.67
170,Nikola Jovic,MIA,46,25.2,10.7,3.9,2.8,0.8,0.3,1.7,45.5,82.8,-0.51,-1.16,-0.82,-0.58,-0.62,-0.77,-0.08,-0.22,0.13
171,Jared McCain,PHI,23,25.8,15.3,2.4,2.6,0.7,0.0,2.2,46.0,87.5,-0.52,-0.34,-1.40,-0.70,-1.08,-1.30,0.44,-0.30,0.53
172,Day'Ron Sharpe,BKN,50,18.1,7.9,6.6,1.8,0.8,0.8,0.2,52.1,75.7,-0.53,-1.66,0.25,-1.09,-0.64,0.28,-1.55,0.43,-0.23
173,Grayson Allen,PHX,64,24.1,10.6,3.0,2.1,0.8,0.3,2.3,44.8,81.6,-0.53,-1.18,-1.16,-0.93,-0.58,-0.74,0.55,-0.27,0.05
174,Gradey Dick,TOR,54,29.5,14.4,3.6,1.8,0.9,0.2,2.1,41.0,85.8,-0.53,-0.50,-0.95,-1.09,-0.46,-0.95,0.33,-1.13,0.49
175,Dillon Brooks,HOU,75,31.8,14.0,3.7,1.7,0.8,0.2,2.5,42.9,81.8,-0.53,-0.57,-0.91,-1.14,-0.69,-0.90,0.70,-0.80,0.05
176,Aaron Wiggins,OKC,76,23.0,12.0,3.9,1.8,0.8,0.2,1.7,48.8,83.1,-0.54,-0.93,-0.83,-1.12,-0.72,-0.85,-0.07,0.15,0.07
177,Donovan Clingan,POR,67,19.8,6.5,7.9,1.1,0.5,1.6,0.2,53.9,59.6,-0.54,-1.92,0.75,-1.42,-1.46,1.79,-1.56,0.49,-0.98
178,Ochai Agbaji,TOR,64,27.2,10.4,3.8,1.5,0.9,0.5,1.6,49.8,70.8,-0.54,-1.21,-0.87,-1.23,-0.41,-0.42,-0.20,0.27,-0.26
179,Dru Smith,MIA,14,19.1,6.2,2.6,1.6,1.5,0.4,1.1,50.8,75.0,-0.55,-1.97,-1.35,-1.17,1.13,-0.49,-0.63,0.27,-0.18
180,De'Anthony Melton,GSW,6,20.2,10.3,3.3,2.8,1.2,0.3,2.2,40.7,62.5,-0.56,-1.23,-1.04,-0.58,0.26,-0.67,0.39,-0.84,-0.74
181,Kentavious Caldwell-Pope,ORL,77,29.6,8.7,2.2,1.8,1.3,0.4,1.5,43.9,86.3,-0.56,-1.52,-1.50,-1.11,0.58,-0.47,-0.31,-0.32,0.19
182,Moritz Wagner,ORL,30,18.8,12.9,4.9,1.4,0.8,0.4,0.9,56.2,71.8,-0.56,-0.78,-0.41,-1.30,-0.69,-0.55,-0.87,1.00,-0.89
183,Larry Nance,ATL,24,19.3,8.5,4.3,1.6,0.8,0.5,1.4,51.6,69.2,-0.56,-1.57,-0.67,-1.20,-0.61,-0.28,-0.36,0.40,-0.23
184,Marcus Bagley,PHI,10,25.2,6.7,7.0,1.0,0.9,1.2,0.5,39.1,80.0,-0.56,-1.88,0.41,-1.49,-0.43,0.96,-1.27,-0.76,-0.05
185,Kyshawn George,WAS,68,26.5,8.7,4.2,2.5,1.0,0.7,1.7,37.2,75.3,-0.57,-1.53,-0.70,-0.76,-0.17,0.09,-0.10,-1.12,-0.23
186,Jusuf Nurkic,CHA/PHX,51,20.8,8.9,7.8,2.3,0.8,0.7,0.6,47.7,66.4,-0.57,-1.49,0.73,-0.87,-0.73,-0.04,-1.15,0.05,-1.03
187,Taylor Hendricks,UTA,3,25.0,4.7,5.0,0.7,1.7,1.3,1.0,22.2,75.0,-0.57,-2.24,-0.38,-1.66,1.57,1.21,-0.78,-2.03,-0.24
188,Tre Mann,CHA,13,24.5,14.1,2.9,3.0,0.5,0.3,1.8,43.5,90.5,-0.57,-0.56,-1.21,-0.50,-1.37,-0.72,0.07,-0.74,0.47
189,Max Strus,CLE,50,25.5,9.4,4.3,3.2,0.5,0.2,2.3,44.2,82.4,-0.57,-1.39,-0.65,-0.42,-1.42,-0.85,0.48,-0.31,-0.01
190,Ziaire Williams,BKN,63,24.5,10.0,4.6,1.3,1.0,0.5,1.6,41.2,82.1,-0.57,-1.28,-0.56,-1.33,-0.21,-0.43,-0.14,-0.71,0.10
191,Spencer Dinwiddie,DAL,79,27.0,11.0,2.6,4.4,0.9,0.2,1.4,41.6,80.2,-0.58,-1.10,-1.32,0.20,-0.47,-0.89,-0.40,-0.69,0.02
192,Yves Missi,NOP,73,26.8,9.1,8.2,1.4,0.5,1.3,0.0,54.7,62.3,-0.58,-1.45,0.90,-1.32,-1.46,1.23,-1.77,0.69,-1.49
193,Malcolm Brogdon,WAS,24,23.5,12.7,3.8,4.1,0.5,0.2,0.7,43.3,88.0,-0.58,-0.80,-0.86,0.04,-1.37,-0.91,-1.11,-0.59,0.93
194,Mitchell Robinson,NYK,17,17.1,5.1,5.9,0.8,0.9,1.1,0.0,66.1,68.4,-0.59,-2.16,-0.01,-1.61,-0.32,0.70,-1.77,0.92,-0.43
195,Julian Champagnie,SAS,82,23.6,9.9,3.9,1.4,0.7,0.4,2.2,41.5,90.4,-0.59,-1.30,-0.83,-1.32,-0.84,-0.50,0.39,-0.66,0.31
196,Bub Carrington,WAS,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,40.1,81.2,-0.59,-1.32,-0.72,0.21,-1.06,-0.82,-0.09,-0.93,-0.01
197,Brandon Boston,NOP,42,23.7,10.7,3.2,2.2,1.3,0.2,1.2,43.6,78.8,-0.59,-1.17,-1.10,-0.90,0.51,-0.90,-0.61,-0.49,-0.10
198,Wendell Carter,ORL,68,25.9,9.1,7.2,2.0,0.8,0.6,0.5,46.0,73.7,-0.60,-1.45,0.50,-1.01,-0.78,-0.16,-1.23,-0.12,-0.50
199,Buddy Hield,GSW,82,22.8,11.1,3.2,1.6,0.8,0.3,2.5,41.7,82.8,-0.60,-1.09,-1.09,-1.18,-0.58,-0.77,0.70,-0.77,0.01
200,T.J. McConnell,IND,79,17.9,9.1,2.4,4.4,1.1,0.3,0.2,51.9,74.0,-0.60,-1.45,-1.40,0.21,-0.04,-0.80,-1.58,0.49,-0.22
201,Luke Kennard,MEM,65,22.6,8.9,2.8,3.3,0.8,0.1,1.7,47.8,89.5,-0.60,-1.49,-1.25,-0.35,-0.77,-1.15,-0.04,0.06,0.20
202,Ben Simmons,BKN/LAC,51,21.9,5.0,4.7,5.6,0.7,0.5,0.0,52.0,72.7,-0.60,-2.18,-0.49,0.78,-0.84,-0.45,-1.77,0.34,-0.19
203,Harrison Barnes,SAS,82,27.2,12.3,3.8,1.7,0.5,0.2,1.9,50.8,80.9,-0.61,-0.87,-0.87,-1.17,-1.54,-0.98,0.12,0.38,0.05
204,Stephon Castle,SAS,81,26.7,14.7,3.7,4.1,0.9,0.3,1.2,42.8,72.4,-0.61,-0.45,-0.91,0.04,-0.40,-0.79,-0.60,-0.84,-0.94
205,Isaiah Stewart,DET,72,19.9,6.0,5.5,1.7,0.4,1.4,0.2,55.9,75.9,-0.61,-2.00,-0.17,-1.14,-1.76,1.34,-1.54,0.57,-0.19
206,Dorian Finney-Smith,BKN/LAL,63,28.9,8.7,3.9,1.4,0.9,0.4,2.0,44.8,66.7,-0.61,-1.52,-0.81,-1.28,-0.38,-0.61,0.27,-0.23,-0.34
207,Davion Mitchell,MIA/TOR,74,27.4,7.9,2.3,4.9,1.0,0.2,1.1,46.8,69.0,-0.61,-1.66,-1.47,0.44,-0.24,-0.89,-0.64,-0.02,-0.41
208,Bogdan Bogdanovic,ATL/LAC,54,24.9,10.8,2.9,2.7,0.8,0.2,1.9,42.7,87.9,-0.61,-1.15,-1.20,-0.65,-0.80,-0.92,0.17,-0.61,0.25
209,Kelly Olynyk,NOP/TOR,44,20.3,8.7,4.7,2.9,0.8,0.4,0.8,50.0,76.9,-0.61,-1.52,-0.51,-0.55,-0.82,-0.49,-1.02,0.25,-0.25
210,Clint Capela,ATL,55,21.5,8.9,8.5,1.1,0.6,1.0,0.0,55.9,53.6,-0.61,-1.49,1.01,-1.43,-1.17,0.52,-1.77,0.84,-1.42
211,Miles McBride,NYK,64,25.0,9.5,2.5,2.9,1.0,0.3,1.8,40.6,81.3,-0.62,-1.37,-1.37,-0.54,-0.05,-0.80,0.02,-0.81,-0.01
212,Taurean Prince,MIL,80,27.1,8.2,3.6,1.9,1.0,0.2,1.8,45.7,81.3,-0.62,-1.61,-0.94,-1.03,-0.30,-0.95,0.06,-0.12,-0.03
213,Anthony Black,ORL,78,24.1,9.4,2.9,3.1,1.1,0.6,0.8,42.3,76.1,-0.62,-1.39,-1.20,-0.46,0.10,-0.14,-0.98,-0.56,-0.31
214,Kevin Porter,LAC/MIL,75,19.8,10.3,3.7,3.4,1.1,0.2,0.7,44.9,76.9,-0.62,-1.24,-0.90,-0.30,0.04,-0.97,-1.04,-0.31,-0.23
215,Obi Toppin,IND,79,19.6,10.5,4.0,1.6,0.6,0.4,1.4,52.9,78.1,-0.62,-1.19,-0.77,-1.19,-1.26,-0.63,-0.38,0.58,-0.12
216,Nick Richards,CHA/PHX,57,22.0,9.3,8.2,0.9,0.2,1.0,0.0,59.1,74.4,-0.62,-1.42,0.87,-1.56,-2.14,0.52,-1.77,1.00,-0.48
217,Karlo Matkovic,NOP,42,18.8,7.7,5.0,1.1,0.5,1.0,0.5,57.4,77.3,-0.63,-1.69,-0.39,-1.45,-1.41,0.54,-1.27,0.81,-0.13
218,Kevin Huerter,CHI/SAC,69,24.3,9.9,3.0,2.3,1.0,0.3,1.9,42.5,71.4,-0.63,-1.31,-1.19,-0.87,-0.28,-0.67,0.14,-0.60,-0.23
219,Justin Edwards,PHI,44,26.1,10.1,3.4,1.6,1.0,0.4,1.6,45.5,69.6,-0.63,-1.27,-1.03,-1.21,-0.11,-0.61,-0.21,-0.23,-0.37
220,Oscar Tshiebwe,UTA,14,18.1,7.6,8.7,0.6,0.9,0.1,0.0,60.0,74.2,-0.64,-1.71,1.09,-1.67,-0.36,-1.16,-1.77,0.91,-0.41
221,Keldon Johnson,SAS,77,23.8,12.7,4.8,1.6,0.6,0.3,1.1,48.2,77.3,-0.64,-0.80,-0.46,-1.18,-1.12,-0.76,-0.65,0.07,-0.22
222,Gary Trent,MIL,74,25.5,11.1,2.3,1.2,1.0,0.1,2.4,43.1,84.8,-0.64,-1.09,-1.47,-1.41,-0.24,-1.20,0.65,-0.54,0.14
223,Max Christie,DAL/LAL,78,27.2,9.6,3.3,1.9,0.8,0.4,1.5,42.7,85.5,-0.64,-1.36,-1.06,-1.06,-0.64,-0.55,-0.30,-0.48,0.29
224,Keon Johnson,BKN,79,24.4,10.6,3.7,2.2,1.0,0.4,1.6,38.9,77.0,-0.64,-1.18,-0.88,-0.89,-0.07,-0.58,-0.18,-1.18,-0.19
225,Derrick Jones,LAC,77,24.3,10.1,3.4,0.8,1.0,0.4,1.0,52.6,70.3,-0.65,-1.26,-1.01,-1.60,-0.10,-0.49,-0.76,0.55,-0.48
226,Isaiah Collier,UTA,71,25.8,8.7,3.3,6.3,0.9,0.2,0.6,42.2,68.2,-0.65,-1.53,-1.05,1.13,-0.35,-0.87,-1.18,-0.56,-0.79
227,Brice Sensabaugh,UTA,71,20.2,10.9,3.0,1.5,0.6,0.1,2.2,45.9,89.0,-0.66,-1.13,-1.19,-1.22,-1.09,-1.09,0.43,-0.18,0.23
228,Brandon Clarke,MEM,64,18.9,8.3,5.1,1.0,0.8,0.6,0.0,62.1,70.1,-0.66,-1.59,-0.35,-1.48,-0.66,-0.24,-1.76,1.23,-0.44
229,Peyton Watson,DEN,68,24.4,8.1,3.4,1.4,0.7,1.4,0.7,47.7,69.3,-0.66,-1.63,-1.01,-1.30,-0.94,1.28,-1.07,0.05,-0.67
230,Jaylin Williams,OKC,47,16.7,5.9,5.6,2.6,0.5,0.6,1.3,43.9,76.7,-0.67,-2.02,-0.16,-0.72,-1.56,-0.14,-0.48,-0.17,-0.12
231,Nickeil Alexander-Walker,MIN,82,25.3,9.4,3.2,2.7,0.6,0.4,1.7,43.8,78.0,-0.67,-1.39,-1.09,-0.64,-1.19,-0.52,-0.06,-0.36,-0.12
232,Marcus Smart,MEM/WAS,34,20.0,9.0,2.1,3.2,1.1,0.3,1.4,39.3,76.1,-0.68,-1.47,-1.53,-0.40,0.21,-0.80,-0.34,-0.83,-0.27
233,Kyle Filipowski,UTA,72,21.1,9.6,6.1,1.9,0.7,0.3,1.1,50.2,65.0,-0.68,-1.36,0.06,-1.03,-1.04,-0.72,-0.71,0.29,-0.91
234,Lonnie Walker,PHI,20,24.0,12.4,3.2,2.5,0.5,0.3,2.3,42.0,80.0,-0.68,-0.87,-1.12,-0.75,-1.47,-0.83,0.47,-0.83,-0.04
235,Duncan Robinson,MIA,74,24.1,11.0,2.3,2.4,0.5,0.1,2.6,43.7,88.7,-0.68,-1.10,-1.47,-0.81,-1.37,-1.15,0.79,-0.47,0.13
236,Tre Jones,CHI/SAS,46,19.6,7.2,2.5,4.2,0.8,0.2,0.4,53.8,82.1,-0.68,-1.80,-1.37,0.08,-0.68,-0.89,-1.36,0.50,0.05
237,Isaiah Joe,OKC,74,21.7,10.2,2.6,1.6,0.6,0.1,2.6,44.0,82.1,-0.68,-1.25,-1.32,-1.19,-1.09,-1.07,0.82,-0.36,0.00
238,Zaccharie Risacher,ATL,75,24.6,12.6,3.6,1.2,0.7,0.5,1.6,45.8,71.1,-0.68,-0.83,-0.95,-1.38,-0.97,-0.37,-0.15,-0.27,-0.55
239,Keion Brooks,NOP,14,23.6,10.1,4.1,0.9,0.7,0.7,1.0,48.6,73.3,-0.68,-1.26,-0.72,-1.53,-0.92,0.05,-0.78,0.13,-0.45
240,Cody Martin,CHA/PHX,53,22.1,6.8,4.2,2.0,1.1,0.6,0.8,41.8,70.5,-0.69,-1.87,-0.69,-1.01,-0.02,-0.16,-0.96,-0.44,-0.37
241,N'Faly Dante,HOU,4,12.8,6.0,5.3,0.5,0.3,1.3,0.0,76.9,80.0,-0.69,-2.01,-0.29,-1.74,-2.13,1.06,-1.77,1.39,-0.04
242,Luke Kornet,BOS,73,18.7,6.0,5.3,1.6,0.5,1.0,0.0,66.8,69.1,-0.70,-2.00,-0.26,-1.19,-1.49,0.53,-1.77,1.09,-0.47
243,Richaun Holmes,WAS,31,17.2,7.4,5.7,1.4,0.3,0.7,0.0,64.7,83.3,-0.70,-1.75,-0.10,-1.32,-2.02,0.10,-1.77,1.12,0.16
244,Vit Krejci,ATL,57,20.2,7.2,2.7,2.6,0.6,0.5,1.6,49.7,71.1,-0.70,-1.79,-1.28,-0.71,-1.13,-0.44,-0.20,0.21,-0.26
245,Elfrid Payton,CHA/NOP,24,21.3,3.5,3.3,6.9,1.0,0.5,0.0,32.8,57.1,-0.70,-2.45,-1.06,1.44,-0.17,-0.44,-1.73,-0.97,-0.26
246,Cole Anthony,ORL,67,18.4,9.4,3.0,2.9,0.7,0.5,1.1,42.4,82.3,-0.71,-1.40,-1.16,-0.58,-1.03,-0.40,-0.63,-0.56,0.08
247,Chris Boucher,TOR,50,17.3,10.0,4.5,0.7,0.5,0.5,1.4,49.2,78.2,-0.72,-1.28,-0.59,-1.66,-1.53,-0.36,-0.38,0.19,-0.13
248,Haywood Highsmith,MIA,74,24.6,6.5,3.4,1.5,0.9,0.5,1.2,45.9,72.1,-0.72,-1.92,-1.02,-1.24,-0.38,-0.36,-0.57,-0.06,-0.19
249,Moses Moody,GSW,74,22.3,9.8,2.6,1.3,0.8,0.4,1.7,43.3,79.7,-0.72,-1.33,-1.35,-1.35,-0.70,-0.51,-0.07,-0.43,-0.05
250,Chuma Okeke,CLE/PHI,9,21.8,5.9,5.2,1.7,0.6,0.4,1.2,50.0,66.7,-0.73,-2.03,-0.30,-1.16,-1.33,-0.46,-0.55,0.22,-0.19
251,Jaime Jaquez,MIA,66,20.8,8.6,4.4,2.5,0.9,0.2,0.6,46.1,75.4,-0.73,-1.53,-0.62,-0.74,-0.37,-0.90,-1.21,-0.11,-0.32
252,Corey Kispert,WAS,61,26.2,11.6,3.0,1.7,0.4,0.2,2.0,45.1,85.2,-0.73,-1.01,-1.19,-1.15,-1.67,-0.87,0.19,-0.31,0.19
253,Jake LaRavia,MEM/SAC,66,20.4,6.9,3.9,2.4,0.9,0.3,0.9,47.5,67.8,-0.74,-1.84,-0.81,-0.80,-0.33,-0.64,-0.87,0.05,-0.66
254,Mouhamed Gueye,ATL,33,16.1,6.0,4.2,0.8,0.8,1.0,0.6,42.1,76.2,-0.74,-2.01,-0.70,-1.58,-0.57,0.58,-1.14,-0.33,-0.19
255,Patrick Williams,CHI,63,25.0,9.0,3.8,2.0,0.8,0.5,1.5,39.7,72.3,-0.74,-1.47,-0.88,-1.01,-0.79,-0.34,-0.25,-0.86,-0.34
256,Jordan Goodwin,LAL,29,18.7,5.6,3.9,1.4,1.0,0.4,0.9,43.8,81.8,-0.75,-2.09,-0.84,-1.27,-0.08,-0.58,-0.88,-0.20,-0.04
257,Andre Drummond,PHI,40,18.7,7.3,7.8,0.9,1.0,0.5,0.1,50.0,62.2,-0.75,-1.77,0.71,-1.57,-0.24,-0.45,-1.70,0.24,-1.21
258,Tosan Evbuomwan,BKN,28,23.8,9.5,4.3,2.0,0.9,0.4,0.9,42.7,75.3,-0.75,-1.37,-0.67,-1.02,-0.54,-0.63,-0.92,-0.50,-0.38
259,Jonathan Kuminga,GSW,47,24.3,15.3,4.6,2.2,0.8,0.4,1.0,45.4,66.8,-0.75,-0.34,-0.54,-0.89,-0.67,-0.46,-0.80,-0.40,-1.93
260,Jaxson Hayes,LAL,56,19.5,6.8,4.8,1.0,0.6,0.9,0.0,72.2,62.2,-0.75,-1.86,-0.46,-1.48,-1.34,0.42,-1.77,1.42,-0.96
261,Sam Hauser,BOS,71,21.7,8.5,3.2,0.9,0.6,0.2,2.3,45.1,100.0,-0.75,-1.55,-1.12,-1.54,-1.27,-0.95,0.56,-0.18,0.03
262,Jalen Smith,CHI,64,15.1,8.2,5.6,1.0,0.3,0.7,1.1,46.6,80.9,-0.76,-1.61,-0.15,-1.49,-2.09,0.00,-0.65,-0.05,0.00
263,Kyle Kuzma,MIL/WAS,65,29.8,14.8,5.7,2.3,0.6,0.3,1.5,43.6,63.4,-0.76,-0.42,-0.11,-0.83,-1.33,-0.75,-0.30,-0.76,-1.54
264,Jonathan Mogbo,TOR,63,20.4,6.2,4.9,2.3,0.9,0.5,0.3,43.8,73.2,-0.76,-1.97,-0.41,-0.84,-0.50,-0.28,-1.50,-0.24,-0.31
265,Jared Butler,PHI/WAS,60,17.4,9.0,1.8,3.7,0.7,0.2,1.0,44.8,82.4,-0.76,-1.47,-1.64,-0.17,-0.95,-0.89,-0.78,-0.26,0.07
266,Matas Buzelis,CHI,80,18.9,8.6,3.5,1.0,0.4,0.9,1.2,45.4,81.5,-0.77,-1.54,-0.99,-1.50,-1.83,0.47,-0.58,-0.17,0.02
267,Terry Rozier,MIA,64,25.9,10.6,3.7,2.6,0.6,0.2,1.4,39.1,85.2,-0.78,-1.18,-0.89,-0.70,-1.27,-0.89,-0.35,-1.17,0.23
268,Precious Achiuwa,NYK,57,20.5,6.6,5.6,1.0,0.8,0.7,0.2,50.2,59.4,-0.78,-1.89,-0.16,-1.51,-0.63,0.09,-1.60,0.25,-0.78
269,Josh Okogie,CHA/PHX,40,15.7,7.1,2.8,0.8,1.2,0.5,0.8,44.3,74.1,-0.78,-1.81,-1.25,-1.58,0.35,-0.40,-0.97,-0.18,-0.40
270,Isaiah Mobley,PHI,1,17.0,6.0,4.0,5.0,1.0,1.0,1.0,28.6,50.0,-0.78,-2.01,-0.78,0.49,-0.17,0.58,-0.78,-1.79,-1.81
271,Jonathan Isaac,ORL,71,15.4,5.4,4.4,0.6,0.9,1.1,0.5,41.4,68.2,-0.78,-2.12,-0.61,-1.71,-0.54,0.82,-1.22,-0.32,-0.57
272,Josh Green,CHA,68,27.8,7.4,2.5,1.6,1.1,0.2,1.4,42.8,68.1,-0.78,-1.75,-1.36,-1.20,0.06,-0.88,-0.35,-0.36,-0.42
273,Georges Niang,ATL/CLE,79,21.5,9.9,3.4,1.4,0.4,0.2,2.1,46.1,79.3,-0.79,-1.30,-1.00,-1.29,-1.85,-0.97,0.32,-0.13,-0.07
274,Drew Timme,BKN,9,28.2,12.1,7.2,2.2,0.4,0.1,1.0,44.1,62.5,-0.79,-0.91,0.50,-0.89,-1.62,-1.09,-0.78,-0.57,-0.96
275,Trendon Watford,BKN,44,20.7,10.2,3.6,2.6,0.6,0.3,0.7,46.9,76.2,-0.79,-1.25,-0.92,-0.69,-1.18,-0.79,-1.12,-0.06,-0.32
276,Isaiah Jackson,IND,5,16.8,7.0,5.6,1.0,0.6,1.6,0.0,60.9,50.0,-0.79,-1.83,-0.15,-1.49,-1.21,1.71,-1.77,0.91,-2.51
277,Jaylen Wells,MEM,79,25.9,10.4,3.4,1.7,0.6,0.1,1.7,42.5,82.2,-0.79,-1.22,-1.02,-1.14,-1.33,-1.11,-0.03,-0.59,0.08
278,Tristan Vukcevic,WAS,35,14.6,9.4,3.7,1.1,0.3,0.7,1.1,49.6,77.6,-0.80,-1.39,-0.89,-1.44,-1.96,-0.06,-0.69,0.22,-0.16
279,Bruce Brown,NOP/TOR,41,22.4,8.3,4.0,2.0,0.8,0.2,0.7,42.1,81.5,-0.80,-1.60,-0.78,-0.97,-0.62,-0.84,-1.12,-0.54,0.04
280,Caleb Martin,DAL/PHI,45,27.1,7.9,3.9,2.1,1.0,0.5,0.8,42.4,62.2,-0.80,-1.66,-0.81,-0.94,-0.11,-0.34,-0.95,-0.44,-1.18
281,Zach Collins,CHI/SAS,64,15.3,6.4,4.5,1.7,0.5,0.5,0.5,50.7,88.5,-0.80,-1.94,-0.58,-1.13,-1.60,-0.45,-1.27,0.27,0.27
282,Tolu Smith,DET,1,22.0,14.0,8.0,0.0,0.0,0.0,0.0,66.7,66.7,-0.81,-0.57,0.81,-1.99,-2.78,-1.30,-1.77,2.36,-1.20
283,Brandon Williams,DAL,33,14.8,8.3,1.8,2.3,0.7,0.2,0.7,52.1,83.3,-0.81,-1.59,-1.67,-0.85,-0.88,-1.01,-1.05,0.41,0.17
284,Sam Merrill,CLE,71,19.8,7.2,2.2,1.5,0.7,0.2,1.9,40.6,96.6,-0.81,-1.80,-1.49,-1.24,-0.83,-0.93,0.15,-0.53,0.14
285,Tim Hardaway,DET,77,27.9,11.0,2.4,1.6,0.5,0.1,2.2,40.6,85.5,-0.81,-1.12,-1.42,-1.20,-1.49,-1.13,0.40,-0.84,0.28
286,Adem Bona,PHI,58,15.7,5.8,4.2,0.5,0.4,1.2,0.0,70.3,67.0,-0.81,-2.04,-0.69,-1.76,-1.61,0.94,-1.77,1.12,-0.70
287,Jared Rhoden,CHA/TOR,14,16.2,8.4,3.0,1.1,0.7,0.1,0.9,48.3,88.0,-0.82,-1.57,-1.18,-1.42,-0.92,-1.03,-0.92,0.10,0.40
288,Quinten Post,GSW,42,16.3,8.1,3.5,1.3,0.4,0.4,1.7,44.9,77.8,-0.82,-1.63,-0.97,-1.33,-1.79,-0.49,-0.04,-0.20,-0.10
289,Gary Payton,GSW,62,14.9,6.5,3.0,1.3,0.8,0.3,0.5,57.4,71.1,-0.82,-1.93,-1.18,-1.33,-0.59,-0.78,-1.27,0.71,-0.22
