,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
10,Cade Cunningham,DET,70,35.0,26.1,6.1,9.1,1.0,0.8,2.1,46.9,84.6,0.62,1.60,0.04,2.53,-0.13,0.13,0.35,-0.35,0.76
11,Kevin Durant,PHX,62,36.6,26.6,6.0,4.2,0.8,1.2,2.6,52.7,83.9,0.61,1.68,0.03,0.11,-0.68,1.04,0.80,1.13,0.73
12,Jayson Tatum,BOS,72,36.4,26.8,8.7,6.0,1.1,0.5,3.5,45.2,81.4,0.58,1.72,1.06,0.98,-0.03,-0.30,1.69,-0.83,0.31
13,LeBron James,LAL,70,34.9,24.4,7.8,8.2,1.0,0.6,2.1,51.3,78.2,0.58,1.29,0.73,2.09,-0.17,-0.25,0.35,0.78,-0.22
14,Tyrese Haliburton,IND,73,33.6,18.6,3.5,9.2,1.4,0.7,3.0,47.3,85.1,0.55,0.25,-0.97,2.58,0.97,-0.03,1.21,-0.12,0.46
15,Trae Young,ATL,76,36.0,24.2,3.1,11.6,1.2,0.2,2.9,41.1,87.5,0.54,1.26,-1.14,3.75,0.34,-1.00,1.09,-1.73,1.74
16,Tyrese Maxey,PHI,52,37.7,26.3,3.3,6.1,1.8,0.4,3.1,43.7,87.9,0.53,1.63,-1.04,1.03,1.79,-0.54,1.32,-1.28,1.35
17,Anthony Edwards,MIN,79,36.3,27.6,5.7,4.5,1.2,0.6,4.1,44.7,83.7,0.53,1.85,-0.11,0.26,0.23,-0.08,2.27,-0.96,0.75
18,Kyrie Irving,DAL,50,36.0,24.7,4.8,4.6,1.3,0.5,2.9,47.3,91.6,0.47,1.34,-0.46,0.30,0.66,-0.43,1.10,-0.21,1.50
19,Jalen Johnson,ATL,36,35.7,18.9,10.0,5.0,1.6,1.0,1.2,50.0,74.6,0.44,0.30,1.59,0.50,1.28,0.58,-0.55,0.41,-0.56
20,Domantas Sabonis,SAC,70,34.7,19.1,13.9,6.0,0.7,0.4,0.9,59.0,75.4,0.43,0.34,3.14,1.01,-0.99,-0.60,-0.85,1.95,-0.55
21,Dyson Daniels,ATL,76,33.9,14.1,5.9,4.4,3.0,0.7,1.1,49.3,59.3,0.39,-0.55,-0.02,0.18,5.08,0.06,-0.72,0.24,-1.17
22,Devin Booker,PHX,75,37.3,25.6,4.1,7.1,0.9,0.2,2.4,46.1,89.4,0.37,1.51,-0.75,1.51,-0.45,-0.90,0.66,-0.54,1.88
23,Joel Embiid,PHI,19,30.2,23.8,8.2,4.5,0.7,0.9,1.2,44.4,88.2,0.35,1.18,0.87,0.23,-0.86,0.49,-0.57,-0.82,2.28
24,Jamal Murray,DEN,67,36.1,21.4,3.9,6.0,1.4,0.5,2.3,47.4,88.6,0.33,0.76,-0.82,0.99,0.76,-0.37,0.55,-0.16,0.95
25,Tyler Herro,MIA,77,35.4,23.9,5.2,5.5,0.9,0.2,3.3,47.2,87.8,0.32,1.20,-0.31,0.74,-0.44,-0.88,1.48,-0.21,1.00
26,LaMelo Ball,CHA,47,32.0,25.2,4.9,7.4,1.1,0.3,3.8,40.5,84.3,0.32,1.43,-0.41,1.66,0.22,-0.78,2.03,-2.25,0.65
27,De'Aaron Fox,SAC/SAS,62,36.2,23.5,4.8,6.3,1.5,0.4,1.9,46.3,82.7,0.31,1.13,-0.46,1.15,1.05,-0.54,0.13,-0.46,0.45
28,Jalen Williams,OKC,69,32.4,21.6,5.3,5.1,1.6,0.7,1.8,48.4,78.9,0.31,0.79,-0.25,0.56,1.42,-0.04,0.02,0.07,-0.12
29,Giannis Antetokounmpo,MIL,67,34.2,30.4,11.9,6.5,0.9,1.2,0.2,60.1,61.7,0.29,2.36,2.36,1.22,-0.52,0.89,-1.56,3.23,-5.62
