,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
140,Tyus Jones,ORL,G,66,29.3,12.0,2.7,7.3,1.1,0.3,1.6,48.9,80.0,1.0,3.9,41.4,4.9,10.1,0.5,0.6,0.1,0.0,0.7,29.3
141,Jaime Jaquez,MIA,F,75,28.1,11.9,3.8,2.6,1.0,0.3,0.9,48.9,81.1,1.5,2.7,32.2,4.5,9.3,1.9,2.3,0.0,0.0,2.2,22.7
142,Nic Claxton,BKN,C,71,29.8,11.8,9.9,2.1,0.6,2.1,0.0,62.9,55.1,1.3,0.1,20.0,5.2,8.2,1.5,2.8,0.4,0.0,2.5,33.7
T143,Ivica Zubac,LAC,C,68,26.4,11.7,9.2,1.4,0.3,1.2,0.0,64.9,72.3,1.2,0.0,0.0,5.0,7.6,1.8,2.4,0.3,0.0,2.6,28.2
T143,Marvin Bagley,WAS,C,50,21.0,11.7,6.2,1.1,0.4,0.7,0.2,58.6,76.2,1.2,0.5,39.1,4.8,8.2,1.9,2.5,0.2,0.0,1.6,22.8
T145,Jeremy Sochan,SAS,F,74,29.6,11.6,6.4,3.4,0.8,0.5,0.9,43.8,77.1,1.9,3.1,30.8,4.6,10.5,1.5,1.9,0.1,0.0,2.3,26.6
T145,Cole Anthony,MIL,G,81,22.4,11.6,3.8,2.9,0.8,0.5,1.1,43.5,82.6,1.6,3.4,33.8,4.1,9.4,2.2,2.7,0.0,0.0,2.2,22.7
147,Clint Capela,HOU,C,73,25.8,11.5,10.6,1.2,0.6,1.5,0.0,57.1,63.1,1.0,0.0,0.0,4.8,8.5,1.8,2.8,0.5,0.0,2.2,31.2
148,Mike Conley,MIN,G,76,28.8,11.4,2.9,5.9,1.2,0.2,2.4,45.7,91.1,1.3,5.3,44.2,3.9,8.5,1.3,1.5,0.1,0.0,1.7,26.5
T149,Brandon Clarke,MEM,C,6,22.3,11.3,5.3,1.5,0.8,1.0,0.2,55.9,14.3,0.5,1.0,16.7,5.5,9.8,0.2,1.2,0.0,0.0,1.3,25.0
T149,Malik Beasley,FA,G,79,29.6,11.3,3.7,1.4,0.7,0.1,2.8,44.3,71.4,0.7,6.9,41.3,4.1,9.1,0.3,0.4,0.0,0.0,2.0,19.6
151,Zach Collins,CHI,C,69,22.1,11.2,5.4,2.8,0.5,0.8,0.8,48.4,75.3,1.9,2.6,32.0,4.3,8.9,1.8,2.3,0.0,0.0,3.0,23.8
T152,Jakob Poeltl,TOR,C,50,26.4,11.1,8.6,2.5,0.7,1.5,0.0,65.6,55.1,1.5,0.0,0.0,5.0,7.6,1.2,2.1,0.4,0.0,3.0,30.3
T152,De'Anthony Melton,GSW,G,38,26.9,11.1,3.7,3.0,1.6,0.4,2.0,38.6,83.5,1.0,5.6,36.0,3.7,9.5,1.7,2.1,0.0,0.0,2.2,25.0
T152,Russell Westbrook,FA,G,68,22.4,11.1,5.0,4.5,1.1,0.3,0.6,45.4,68.8,2.1,2.3,27.3,4.4,9.8,1.6,2.4,0.1,0.0,1.8,26.1
T155,Wendell Carter,ORL,C,55,25.5,11.0,6.9,1.7,0.6,0.5,1.2,52.5,69.4,1.2,3.1,37.4,4.1,7.7,1.7,2.4,0.2,0.0,2.2,24.1
T155,Luke Kennard,ATL,G,39,25.6,11.0,2.9,3.5,0.5,0.1,2.7,44.8,88.9,1.4,6.1,45.0,3.6,8.1,1.0,1.2,0.0,0.0,1.0,20.0
T155,Daniel Gafford,DAL,C,74,24.5,11.0,7.6,1.6,0.9,2.1,0.0,72.5,67.4,1.0,0.0,0.0,4.7,6.5,1.6,2.4,0.2,0.0,3.1,30.3
T155,Herbert Jones,NOP,F,76,30.5,11.0,3.6,2.6,1.4,0.8,1.5,49.8,86.7,1.2,3.6,41.8,3.9,7.7,1.8,2.1,0.0,0.0,2.9,24.6
T155,Eric Gordon,PHI,G,68,27.8,11.0,1.8,2.0,1.0,0.4,2.2,44.3,79.7,1.1,5.8,37.8,4.0,9.1,0.8,0.9,0.0,0.0,1.2,19.4
T160,Jusuf Nurkic,UTA,C,76,27.3,10.9,11.0,4.0,1.1,1.1,0.3,51.0,64.0,2.3,1.2,24.4,4.2,8.3,2.2,3.4,0.4,0.0,3.3,34.1
T160,Moritz Wagner,ORL,C,80,17.7,10.9,4.3,1.2,0.5,0.3,0.5,60.1,81.4,1.2,1.4,33.0,4.2,6.9,2.1,2.6,0.0,0.0,2.0,18.9
T160,Luguentz Dort,OKC,F,79,28.4,10.9,3.6,1.4,0.9,0.6,2.0,43.8,82.6,0.9,5.0,39.4,3.6,8.3,1.6,2.0,0.0,0.0,2.9,20.9
T160,Isaiah Stewart,DET,F,46,31.0,10.9,6.6,1.6,0.4,0.8,1.5,48.7,75.3,1.4,3.8,38.3,4.0,8.3,1.4,1.8,0.1,0.0,2.2,23.4
T164,Jake LaRavia,LAL,F,35,23.1,10.8,3.7,1.7,0.8,0.3,1.5,38.9,82.6,1.3,4.5,34.0,3.4,8.7,2.6,3.1,0.1,0.0,2.0,19.9
T164,Bruce Brown,DEN,G,67,27.8,10.8,4.2,2.9,0.9,0.3,0.8,47.8,82.4,1.3,2.4,32.3,4.1,8.7,1.7,2.1,0.0,0.0,2.2,22.3
166,Santi Aldama,MEM,F,61,26.6,10.7,5.8,2.3,0.7,0.9,1.7,43.5,62.1,1.1,5.0,34.9,4.0,9.3,0.9,1.4,0.1,0.0,1.5,24.7
T167,Jaden McDaniels,MIN,F,72,29.2,10.5,3.1,1.4,0.9,0.6,1.2,48.9,72.2,1.2,3.5,33.7,4.3,8.7,0.8,1.1,0.0,0.0,3.0,19.5
T167,Spencer Dinwiddie,CHA,G,76,28.3,10.5,2.7,4.7,0.7,0.3,1.6,39.2,80.5,1.2,4.8,33.7,3.3,8.4,2.2,2.8,0.1,0.0,1.8,22.4
T167,Simone Fontecchio,MIA,F,66,24.9,10.5,3.7,1.5,0.7,0.3,2.0,46.0,81.8,1.0,5.1,40.1,3.8,8.3,0.8,1.0,0.0,0.0,1.7,19.3
170,Alec Burks,FA,G,66,18.3,10.4,2.3,1.3,0.4,0.2,1.9,36.9,86.8,0.7,5.0,37.6,3.2,8.6,2.2,2.5,0.0,0.0,1.1,16.3
T171,Dalano Banton,DAL,G,54,19.4,10.3,3.3,2.4,0.6,0.4,1.1,40.4,78.3,1.4,3.7,29.6,3.7,9.3,1.7,2.2,0.0,0.0,1.2,19.3
T171,Obi Toppin,IND,F,82,21.1,10.3,3.9,1.6,0.6,0.5,1.2,57.3,77.0,0.8,3.1,40.3,4.0,7.1,0.9,1.2,0.0,0.0,1.7,19.8
T171,Grant Williams,CHA,F,76,28.0,10.3,4.2,2.3,0.6,0.5,1.7,45.6,75.7,1.4,4.4,37.5,3.6,8.0,1.4,1.8,0.0,0.0,3.0,20.6
T174,Onyeka Okongwu,ATL,C,55,25.5,10.2,6.8,1.3,0.5,1.1,0.4,61.1,79.3,0.8,1.3,33.3,4.1,6.6,1.7,2.1,0.1,0.0,2.9,24.3
T174,Kevin Huerter,CHI,G,64,24.5,10.2,3.5,2.6,0.7,0.4,1.9,44.3,76.6,0.8,5.3,36.1,3.9,8.8,0.6,0.7,0.0,0.0,2.1,20.7
T174,Reggie Jackson,FA,G,82,22.2,10.2,1.9,3.8,0.5,0.2,1.2,43.1,80.6,1.3,3.5,35.9,4.0,9.2,1.0,1.2,0.0,0.0,1.8,18.9
T174,T.J. McConnell,IND,G,71,18.2,10.2,2.7,5.5,1.0,0.1,0.3,55.6,79.0,1.5,0.6,40.9,4.6,8.4,0.7,0.9,0.1,0.0,1.1,23.6
T178,Talen Horton-Tucker,FA,G,51,19.7,10.1,2.4,3.5,0.9,0.4,1.2,39.6,80.7,1.3,3.6,33.0,3.6,9.1,1.7,2.1,0.0,0.0,1.8,20.7
T178,Kentavious Caldwell-Pope,MEM,G,76,31.6,10.1,2.4,2.4,1.3,0.6,1.6,46.0,89.4,1.0,4.1,40.6,3.6,7.7,1.3,1.5,0.0,0.0,2.0,21.1
T178,Alex Caruso,OKC,G,71,28.7,10.1,3.8,3.5,1.7,1.0,1.9,46.8,76.0,1.4,4.7,40.8,3.6,7.6,1.0,1.4,0.0,0.0,2.5,26.5
T181,Patrick Williams,CHI,F,43,27.3,10.0,3.9,1.5,0.9,0.8,1.4,44.3,78.8,1.3,3.4,39.9,3.7,8.3,1.2,1.5,0.0,0.0,2.0,20.7
T181,Tre Jones,CHI,G,77,27.7,10.0,3.8,6.2,1.0,0.1,0.8,50.5,85.6,1.5,2.5,33.5,3.9,7.8,1.3,1.5,0.1,0.0,1.2,25.7
T181,Caleb Martin,DAL,F,64,27.5,10.0,4.4,2.2,0.7,0.5,1.3,43.1,77.8,1.2,3.6,34.9,3.8,8.7,1.2,1.5,0.0,0.0,2.0,21.0
T181,Vince Williams,MEM,F,52,27.7,10.0,5.6,3.4,0.9,0.7,1.5,44.6,80.0,1.8,4.0,37.8,3.3,7.3,2.0,2.5,0.1,0.0,2.6,24.7
T185,Jalen Smith,CHI,C,61,17.1,9.9,5.5,1.0,0.3,0.6,1.0,59.2,69.2,0.7,2.4,42.4,3.8,6.5,1.2,1.7,0.1,0.0,2.0,20.0
T185,Josh Richardson,FA,G,43,25.7,9.9,2.8,2.4,0.6,0.3,1.5,44.4,94.4,0.8,4.4,34.7,3.6,8.1,1.2,1.3,0.0,0.0,1.8,18.7
T187,Gordon Hayward,FA,F,51,24.5,9.8,3.5,3.1,0.8,0.3,0.7,46.4,74.2,1.3,1.8,41.1,3.7,7.9,1.7,2.4,0.0,0.0,1.3,20.5
T187,Tari Eason,HOU,F,22,21.8,9.8,7.0,1.2,1.4,0.9,0.8,46.6,63.6,0.9,2.3,36.0,4.0,8.6,1.0,1.5,0.1,0.0,2.3,25.9
T187,Kelly Olynyk,SAS,C,78,22.6,9.8,5.3,4.4,0.9,0.4,0.8,55.5,83.3,1.9,2.0,38.7,3.5,6.4,1.9,2.3,0.1,0.0,2.9,24.8
T190,Lonnie Walker,FA,G,58,17.5,9.7,2.2,1.3,0.6,0.3,1.8,42.3,76.3,0.9,4.7,38.4,3.6,8.5,0.8,1.0,0.0,0.0,1.2,16.1
T190,Nick Richards,PHO,C,67,26.2,9.7,8.0,0.8,0.4,1.1,0.0,69.1,73.7,1.1,0.0,0.0,3.9,5.6,2.0,2.7,0.3,0.0,2.6,24.0
192,Payton Pritchard,BOS,G,82,22.2,9.6,3.2,3.4,0.5,0.1,1.8,46.8,82.1,0.7,4.7,38.5,3.6,7.7,0.6,0.7,0.0,0.0,1.3,19.5
193,Amen Thompson,HOU,G,62,22.4,9.5,6.6,2.6,1.3,0.6,0.1,53.6,68.4,1.5,0.9,13.8,3.9,7.2,1.7,2.5,0.2,0.0,2.3,25.6
T194,Josh Hart,NYK,F,81,33.4,9.4,8.3,4.1,0.9,0.3,1.0,43.4,79.1,1.5,3.2,31.0,3.6,8.4,1.1,1.4,0.3,0.1,2.1,27.7
T194,Isaac Okoro,CHI,F,69,27.4,9.4,3.0,1.9,0.8,0.5,1.2,49.0,67.9,0.8,3.1,39.1,3.4,7.0,1.3,2.0,0.0,0.0,2.0,19.0
T194,Georges Niang,UTA,F,82,22.3,9.4,3.4,1.2,0.4,0.2,1.8,44.9,85.0,0.9,4.8,37.6,3.5,7.7,0.6,0.7,0.0,0.0,2.3,16.1
197,Tre Mann,CHA,G,41,24.2,9.3,3.6,4.0,1.2,0.1,1.1,45.9,76.3,1.6,3.1,37.3,3.5,7.7,1.1,1.4,0.0,0.0,1.2,22.1
T198,Chris Paul,LAC,G,58,26.4,9.2,3.9,6.8,1.2,0.1,1.3,44.1,82.7,1.3,3.6,37.1,3.6,8.1,0.7,0.9,0.1,0.0,1.9,26.6
T198,Andrew Nembhard,IND,G,68,24.9,9.2,2.1,4.1,0.9,0.1,0.9,49.8,80.4,1.5,2.5,35.7,3.8,7.7,0.7,0.8,0.0,0.0,2.1,19.4
T198,Brandin Podziemski,GSW,G,74,26.6,9.2,5.8,3.7,0.8,0.2,1.2,45.4,63.3,1.2,3.2,38.5,3.7,8.1,0.7,1.1,0.1,0.0,1.6,23.5
T198,Malaki Branham,WAS,G,75,21.2,9.2,2.0,2.1,0.3,0.1,1.2,43.2,87.3,1.2,3.6,34.7,3.6,8.4,0.7,0.8,0.0,0.0,1.3,14.8
202,Duop Reath,POR,C,68,17.9,9.1,3.7,1.0,0.5,0.6,1.3,46.1,74.2,0.8,3.6,35.9,3.4,7.3,1.0,1.4,0.0,0.0,2.4,17.3
203,Sam Hauser,BOS,F,79,22.1,9.0,3.5,1.0,0.5,0.3,2.5,44.6,89.5,0.4,5.9,42.4,3.2,7.1,0.2,0.2,0.0,0.0,1.3,16.8
T204,Taurean Prince,MIL,F,78,27.0,8.9,2.9,1.5,0.7,0.4,1.8,44.2,73.5,0.9,4.6,39.6,3.2,7.3,0.6,0.9,0.0,0.0,1.9,17.4
T204,Jabari Walker,PHI,F,72,23.6,8.9,7.1,1.0,0.6,0.3,0.6,46.0,75.4,0.9,1.9,29.5,3.3,7.1,1.8,2.4,0.2,0.0,2.4,20.6
T206,Ausar Thompson,DET,F,63,25.1,8.8,6.4,1.9,1.1,0.9,0.3,48.3,59.7,1.3,1.8,18.6,3.7,7.6,1.1,1.9,0.0,0.0,2.8,24.1
T206,Dereck Lively,DAL,C,55,23.5,8.8,6.9,1.1,0.7,1.4,0.0,74.7,50.6,0.9,0.0,0.0,4.0,5.4,0.7,1.5,0.1,0.0,2.6,23.9
T206,Kevin Love,UTA,C,55,16.8,8.8,6.1,2.1,0.3,0.2,1.5,44.0,78.7,0.9,4.4,34.4,2.9,6.5,1.5,2.0,0.1,0.0,1.8,20.0
T206,Terance Mann,BKN,G,75,25.0,8.8,3.4,1.6,0.6,0.2,0.9,51.5,83.2,0.6,2.7,34.8,3.4,6.6,1.1,1.3,0.0,0.0,1.9,16.9
T210,Draymond Green,GSW,C,55,27.1,8.6,7.2,6.0,1.0,0.9,0.9,49.7,73.0,2.5,2.3,39.5,3.4,6.8,1.0,1.3,0.2,0.0,3.0,29.5
T210,Al Horford,GSW,C,65,26.8,8.6,6.4,2.6,0.6,1.0,1.7,51.1,86.7,0.7,4.0,41.9,3.3,6.4,0.4,0.5,0.0,0.0,1.4,24.0
T210,Derrick Jones,LAC,F,76,23.4,8.6,3.3,1.0,0.7,0.7,1.1,48.3,71.3,0.9,3.1,34.3,3.1,6.5,1.3,1.8,0.0,0.0,1.6,17.3
T213,Dorian Finney-Smith,HOU,F,68,28.4,8.5,4.7,1.6,0.8,0.6,1.7,42.1,71.7,0.9,4.9,34.8,3.2,7.5,0.5,0.7,0.0,0.0,2.2,19.8
T213,Gradey Dick,TOR,F,60,21.2,8.5,2.2,1.1,0.6,0.0,1.5,42.5,86.3,0.8,4.0,36.5,3.2,7.4,0.7,0.9,0.0,0.0,1.5,13.8
T213,Tristan Vukcevic,WAS,C,10,15.2,8.5,3.6,1.3,0.5,0.7,1.0,43.3,77.3,1.0,3.6,27.8,2.9,6.7,1.7,2.2,0.0,0.0,2.8,17.4
T216,Andre Drummond,PHI,C,79,17.1,8.4,9.0,0.5,0.9,0.6,0.0,55.6,59.2,1.0,0.0,0.0,3.4,6.1,1.6,2.8,0.2,0.0,1.8,23.4
T216,Bilal Coulibaly,WAS,F,63,27.3,8.4,4.1,1.7,0.9,0.8,1.0,43.5,70.2,1.4,2.9,34.6,3.0,6.9,1.5,2.1,0.0,0.0,2.2,19.6
T218,Miles McBride,NYK,G,68,19.5,8.3,1.5,1.7,0.7,0.1,1.6,45.2,86.0,0.4,3.9,41.0,3.0,6.7,0.6,0.7,0.0,0.0,1.6,14.6
T218,Marcus Sasser,DET,G,71,19.0,8.3,1.8,3.3,0.6,0.2,1.3,42.8,87.9,1.3,3.4,37.5,3.1,7.2,0.8,0.9,0.0,0.0,1.5,16.5
T220,Isaiah Joe,OKC,G,78,18.5,8.2,2.3,1.3,0.6,0.3,1.9,45.8,86.5,0.6,4.5,41.6,2.8,6.2,0.6,0.7,0.0,0.0,1.1,14.8
T220,Ziaire Williams,BKN,F,51,20.4,8.2,3.5,1.5,0.7,0.2,1.1,39.7,82.7,1.3,3.7,30.7,2.9,7.4,1.2,1.5,0.0,0.0,1.7,16.0
T220,Josh Green,CHA,F,57,26.4,8.2,3.2,2.3,0.8,0.2,1.3,47.9,68.4,1.1,3.3,38.5,3.1,6.6,0.7,1.0,0.0,0.0,1.9,17.4
T223,Walker Kessler,UTA,C,64,23.3,8.1,7.5,0.9,0.5,2.4,0.1,65.4,60.2,1.0,0.3,21.1,3.6,5.5,0.9,1.5,0.1,0.0,2.1,26.1
T223,Moses Moody,GSW,F,66,17.6,8.1,3.0,0.9,0.6,0.4,1.1,46.2,78.5,0.7,3.0,36.0,2.9,6.4,1.1,1.4,0.0,0.0,1.4,15.3
T223,Kyle Lowry,PHI,G,60,28.2,8.1,3.2,4.2,1.0,0.4,1.6,43.2,84.0,1.4,4.2,39.2,2.7,6.3,1.1,1.3,0.1,0.0,2.4,20.9
T226,Dario Saric,SAC,C,64,17.2,8.0,4.4,2.3,0.5,0.2,1.2,46.6,84.9,1.2,3.1,37.6,2.8,6.1,1.2,1.5,0.0,0.0,1.8,17.4
T226,Nickeil Alexander-Walker,ATL,G,82,23.4,8.0,2.0,2.5,0.8,0.5,1.6,43.9,80.0,0.9,4.1,39.1,2.9,6.6,0.6,0.8,0.0,0.0,1.7,17.1
T226,Derrick Rose,FA,G,24,16.6,8.0,1.9,3.3,0.3,0.1,0.6,46.1,88.9,1.3,1.7,36.6,3.2,6.9,1.0,1.1,0.0,0.0,0.9,15.0
T226,Sam Merrill,CLE,G,61,17.5,8.0,2.0,1.8,0.3,0.1,2.3,40.2,92.9,0.3,5.8,40.4,2.6,6.4,0.4,0.5,0.0,0.0,1.2,13.8
230,Trayce Jackson-Davis,GSW,C,68,16.7,7.9,5.0,1.2,0.4,1.1,0.0,70.2,56.1,0.7,0.0,0.0,3.4,4.9,1.1,1.9,0.1,0.0,1.6,19.7
T231,Jordan Hawkins,NOP,G,67,17.3,7.8,2.2,1.0,0.3,0.1,1.6,38.2,83.8,0.6,4.4,36.6,2.6,6.8,1.0,1.2,0.0,0.0,1.1,12.6
T231,Isaiah Hartenstein,OKC,C,75,25.3,7.8,8.3,2.5,1.2,1.1,0.0,64.4,70.7,1.2,0.0,33.3,3.1,4.9,1.5,2.1,0.1,0.0,2.8,27.1
T231,Markelle Fultz,FA,G,43,21.1,7.8,3.2,2.8,1.0,0.3,0.1,47.2,69.7,1.2,0.4,22.2,3.6,7.6,0.5,0.8,0.0,0.0,1.5,18.6
T231,Dante Exum,DAL,G,55,19.8,7.8,2.7,2.9,0.4,0.1,1.0,53.3,77.9,0.9,2.0,49.1,2.9,5.5,1.0,1.2,0.0,0.0,1.5,15.9
T235,RaiQuan Gray,FA,F,3,13.3,7.7,2.3,2.0,0.3,0.3,1.0,58.8,0.0,0.3,2.3,42.9,3.3,5.7,0.0,0.0,0.0,0.0,0.0,15.1
T235,Royce O'Neale,PHO,F,79,24.7,7.7,4.8,2.8,0.7,0.6,2.0,39.7,68.6,0.9,5.3,37.0,2.7,6.8,0.3,0.4,0.1,0.0,2.2,20.6
T235,Nikola Jovic,MIA,F,46,19.5,7.7,4.2,2.0,0.5,0.3,1.4,45.2,70.2,0.9,3.5,39.9,2.8,6.1,0.7,1.0,0.0,0.0,1.8,17.2
238,Precious Achiuwa,MIA,C,74,21.9,7.6,6.6,1.3,0.6,0.9,0.4,50.1,61.6,1.1,1.3,26.8,3.2,6.3,0.9,1.5,0.1,0.0,1.9,21.0
T239,Toumani Camara,POR,F,70,24.8,7.5,4.9,1.2,0.9,0.5,0.8,45.0,75.8,1.2,2.5,33.7,2.8,6.3,1.1,1.4,0.0,0.0,2.5,18.3
T239,Brice Sensabaugh,UTA,F,32,18.3,7.5,3.2,1.7,0.4,0.2,1.1,39.0,90.2,1.5,3.6,29.6,2.7,6.8,1.2,1.3,0.0,0.0,1.3,14.2
T239,Cody Martin,FA,G,28,26.9,7.5,3.9,3.7,1.1,0.6,1.0,38.1,60.6,1.6,3.1,31.4,2.9,7.7,0.7,1.2,0.0,0.0,1.7,21.6
242,Cameron Payne,FA,G,78,16.7,7.4,1.5,2.6,0.5,0.1,1.3,43.2,86.6,0.8,3.4,39.0,2.7,6.2,0.7,0.9,0.0,0.0,1.6,14.3
T243,Taylor Hendricks,UTA,F,40,21.4,7.3,4.6,0.8,0.7,0.8,1.3,45.0,79.3,0.7,3.5,37.9,2.7,6.0,0.6,0.7,0.0,0.0,1.9,17.7
T243,Paul Reed,DET,C,82,19.4,7.3,6.0,1.3,0.8,1.0,0.3,54.0,71.8,0.8,0.7,36.8,3.2,5.9,0.7,1.0,0.1,0.0,2.4,21.2
T243,Christian Braun,DEN,G,82,20.2,7.3,3.7,1.6,0.5,0.4,0.8,46.0,69.4,0.7,2.0,38.4,2.7,5.9,1.1,1.6,0.0,0.0,1.7,16.4
T243,Jaden Hardy,DAL,G,73,13.6,7.3,1.8,1.5,0.3,0.1,1.1,40.7,77.6,0.8,3.1,36.2,2.7,6.6,0.8,1.0,0.0,0.0,1.1,11.9
T247,Lamar Stevens,FA,F,38,14.7,7.2,3.3,0.7,0.6,0.6,0.4,45.0,77.8,0.6,1.2,30.4,2.8,6.3,1.1,1.4,0.0,0.0,1.2,15.2
T247,Trey Lyles,FA,F,58,20.0,7.2,4.4,1.2,0.3,0.3,1.4,44.5,70.0,0.7,3.8,38.4,2.5,5.5,0.8,1.2,0.0,0.0,1.5,15.6
T247,Johnny Juzang,MIN,G,20,18.6,7.2,1.8,1.2,0.2,0.1,1.6,46.4,71.4,0.7,3.9,41.6,2.6,5.5,0.5,0.7,0.0,0.0,1.5,11.3
T247,Kevin Knox,FA,F,31,18.1,7.2,2.4,0.7,0.4,0.2,1.0,46.2,90.9,0.7,3.0,33.0,2.8,6.0,0.6,0.7,0.0,0.0,1.6,12.4
T251,Landry Shamet,NYK,G,46,15.8,7.1,1.3,1.2,0.5,0.2,1.2,43.1,82.6,0.7,3.4,33.8,2.6,6.0,0.8,1.0,0.0,0.0,1.7,12.1
T251,Jose Alvarado,NOP,G,56,18.4,7.1,2.3,2.1,1.1,0.3,1.4,41.2,67.3,0.7,3.7,37.7,2.5,6.2,0.6,0.9,0.0,0.0,1.6,16.2
T251,James Wiseman,IND,C,63,17.3,7.1,5.3,0.9,0.2,0.6,0.0,61.3,70.6,1.0,0.0,0.0,3.0,4.8,1.1,1.6,0.1,0.0,2.2,16.1
T251,Naji Marshall,DAL,F,66,19.0,7.1,3.6,1.9,0.7,0.2,0.9,46.3,79.1,1.0,2.3,38.7,2.6,5.6,1.0,1.3,0.0,0.0,1.4,16.1
T255,Vasilije Micic,FA,G,60,19.6,7.0,1.5,4.4,0.5,0.1,0.7,43.0,81.3,1.7,2.6,27.9,2.7,6.2,1.0,1.3,0.1,0.0,1.1,15.6
T255,Jordan Nwora,FA,F,52,13.6,7.0,2.9,1.2,0.5,0.3,0.8,46.2,83.0,1.0,2.5,33.6,2.7,5.8,0.8,1.0,0.0,0.0,0.9,13.5
T255,Javon Freeman-Liberty,FA,G,22,18.3,7.0,3.2,1.8,0.5,0.2,0.5,44.4,91.7,1.1,1.9,23.8,2.5,5.6,1.5,1.6,0.0,0.0,1.3,14.3
T255,Quentin Grimes,PHI,G,51,20.1,7.0,2.0,1.3,0.7,0.1,1.6,37.2,75.6,0.5,4.7,33.8,2.4,6.4,0.7,0.9,0.0,0.0,1.5,13.3
T259,Evan Fournier,FA,G,32,18.3,6.9,1.8,1.5,0.9,0.2,1.0,35.7,80.6,0.7,4.1,25.4,2.5,6.9,0.9,1.1,0.0,0.0,1.5,14.0
T259,Christian Wood,FA,C,50,17.4,6.9,5.1,1.0,0.3,0.7,0.7,46.6,70.2,1.0,2.3,30.7,2.5,5.3,1.3,1.9,0.0,0.0,1.4,16.4
T259,Aaron Wiggins,OKC,F,78,15.7,6.9,2.4,1.1,0.7,0.2,0.8,56.2,78.9,0.7,1.6,49.2,2.7,4.8,0.7,0.9,0.0,0.0,1.2,13.6
T259,Maozinha Pereira,FA,F,7,17.3,6.9,5.3,0.3,0.9,0.6,0.7,51.4,70.0,0.7,1.9,38.5,2.6,5.0,1.0,1.4,0.1,0.0,1.4,17.2
T259,Killian Hayes,CLE,G,42,24.0,6.9,2.8,4.9,0.9,0.5,0.5,41.3,66.0,1.2,1.8,29.7,2.8,6.7,0.8,1.2,0.0,0.0,1.8,20.4
T259,Gary Harris,MIL,G,54,24.0,6.9,1.7,1.6,0.9,0.3,1.4,44.1,75.6,0.6,3.8,37.1,2.4,5.5,0.6,0.8,0.0,0.0,1.7,14.3
T259,Bones Hyland,MIN,G,37,14.6,6.9,1.5,2.5,0.7,0.1,1.2,38.6,78.3,1.2,3.6,32.6,2.6,6.8,0.5,0.6,0.0,0.0,1.4,13.7
T259,Trendon Watford,PHI,F,63,13.6,6.9,3.1,1.3,0.4,0.3,0.4,52.7,79.4,1.0,1.1,39.7,2.6,4.9,1.2,1.5,0.0,0.0,1.7,13.5
T267,Trey Jemison,NYK,C,25,22.9,6.8,5.4,1.1,0.5,1.1,0.0,55.1,84.0,1.4,0.0,0.0,3.0,5.4,0.8,1.0,0.0,0.0,2.8,18.3
T267,Cedi Osman,FA,F,72,17.6,6.8,2.5,1.7,0.5,0.2,1.2,47.9,67.3,0.7,3.1,38.9,2.6,5.3,0.5,0.7,0.0,0.0,1.5,13.6
T267,Robert Williams,POR,C,6,19.8,6.8,6.3,0.8,1.2,1.2,0.0,65.4,77.8,1.2,0.0,0.0,2.8,4.3,1.2,1.5,0.0,0.0,2.8,21.5
T267,Jonathan Isaac,ORL,F,58,15.8,6.8,4.5,0.5,0.7,1.2,0.7,51.0,72.0,0.5,1.9,37.5,2.5,4.9,1.0,1.4,0.0,0.0,1.1,18.3
T267,Julian Champagnie,SAS,F,74,19.9,6.8,2.8,1.4,0.6,0.6,1.4,40.8,81.5,0.8,3.7,36.5,2.2,5.4,1.0,1.2,0.0,0.0,1.0,15.1
T267,Cason Wallace,OKC,G,82,20.6,6.8,2.3,1.5,0.9,0.5,1.2,49.1,78.4,0.5,2.9,41.9,2.6,5.4,0.4,0.5,0.0,0.0,1.6,15.4
T267,Day'Ron Sharpe,BKN,C,61,15.1,6.8,6.4,1.4,0.4,0.7,0.1,57.1,61.0,1.1,0.2,26.7,2.8,4.8,1.2,2.0,0.1,0.0,2.1,18.7
T274,Davis Bertans,FA,F,43,15.7,6.7,1.4,0.8,0.6,0.3,1.8,39.3,90.9,0.4,4.7,38.0,2.1,5.4,0.7,0.8,0.0,0.0,1.3,11.9
T274,Peyton Watson,DEN,F,80,18.6,6.7,3.2,1.1,0.5,1.1,0.6,46.5,67.0,0.7,1.9,29.6,2.6,5.6,0.9,1.3,0.0,0.0,1.8,16.3
T274,Jahmi'us Ramsey,FA,G,7,17.1,6.7,3.1,1.1,1.0,0.0,0.9,43.9,83.3,1.0,3.1,27.3,2.6,5.9,0.7,0.9,0.0,0.0,1.4,14.2
T277,Amir Coffey,MIL,F,70,20.8,6.6,2.1,1.1,0.6,0.2,1.0,47.2,85.9,0.5,2.6,38.0,2.4,5.0,0.9,1.0,0.0,0.0,1.5,12.7
T277,Isaiah Jackson,IND,C,58,13.3,6.6,4.1,0.9,0.6,1.1,0.0,66.5,71.6,0.7,0.1,0.0,2.7,4.0,1.3,1.8,0.1,0.0,2.4,17.1
T277,Dennis Smith,DAL,G,56,18.9,6.6,2.9,3.6,1.2,0.2,0.6,43.5,74.1,1.2,1.9,29.4,2.6,6.0,0.8,1.0,0.1,0.0,2.2,18.6
