Round	Pick	Player	Position	Team	Duration	YTD
10	116	Sexton, Collin	G	@KenGill	6 sec	-
10	117	McDaniels, Jaden	F	@Gamer_Gid	1 hour 56 min 58 sec	-
10	118	Russell, D'Angelo	FLEX	@Glinn	6 min 20 sec	-
10	119	George, Keyonte	G	@Gdmets1986	34 min 28 sec	-
10	120	Harris, Tobias	F	M5 - Chicago Full of Bull	12 min 37 sec	-
11	121	Gordon, Aaron	F	M5 - Chicago Full of Bull	1 min 49 sec	-
11	122	Aldama, Santi	FLEX	@Gdmets1986	48 min 38 sec	-
11	123	Robinson, Mitchell	FLEX	@Glinn	39 min 21 sec	-
11	124	Carrington, Bub	G	@Gamer_Gid	44 min 10 sec	-
11	125	DiVincenzo, Donte	FLEX	@KenGill	2 hour	-
11	126	Huff, Jay	FLEX	Little Donny 2	26 min 59 sec	-
11	127	Podziemski, Brandin	FLEX	@kfredincali	1 hour 52 min 28 sec	-
11	128	Washington, P.J.	C	LOLMets Support Group	42 min 14 sec	-
11	129	Nesmith, Aaron	F	@Danellmer27	1 hour 7 min 22 sec	-
11	130	Edgecombe, VJ	FLEX	Draft29	5 min 27 sec	-
11	131	Holiday, Jrue	FLEX	50-5	7 min 59 sec	-
11	132	Jones, Herbert	FLEX	@jimmytheguy	33 sec	-
12	133	Risacher, Zaccharie	FLEX	@jimmytheguy	4 min 41 sec	-
12	134	Hunter, De'Andre	FLEX	50-5	5 min 35 sec	-
12	135	Jovic, Nikola	FLEX	Draft29	28 min 6 sec	-
12	136	Kuminga, Jonathan	F	@Danellmer27	40 min 54 sec	-
12	137	Wallace, Cason	FLEX	LOLMets Support Group	13 min 52 sec	-
12	138	George, Paul	F	@kfredincali	19 min 14 sec	-
12	139	Knueppel, Kon	G	Little Donny 2	54 min 1 sec	-
12	140	Henderson, Scoot	FLEX	@KenGill	2 hour	-
12	141	Missi, Yves	FLEX	@Gamer_Gid	46 min 9 sec	-
12	142	Green, Draymond	FLEX	@Glinn	44 min 39 sec	-
12	143	Filipowski, Kyle	C	@Gdmets1986	26 min 29 sec	-
12	144	Bona, Adem	FLEX	M5 - Chicago Full of Bull	35 min 44 sec	-
13	145	Jerome, Ty	G	M5 - Chicago Full of Bull	14 sec	-
13	146	Jackson, Isaiah	C	@Gdmets1986	1 hour 13 min 11 sec	-
13	147	McConnell, T.J.	G	@Glinn	55 min 43 sec	-
13	148	Grimes, Quentin	G	@Gamer_Gid	32 min 31 sec	-
13	149	Thompson, Klay	F	@KenGill	6 sec	-
13	150	Sensabaugh, Brice	F	Little Donny 2	9 min 27 sec	-
13	151	Smith, Jabari	F	@kfredincali	1 hour 34 min	-
13	152	Coulibaly, Bilal	F	LOLMets Support Group	36 min 42 sec	-
13	153	Carter, Wendell	F	@Danellmer27	36 min 1 sec	-
13	154	Wells, Jaylen	G	Draft29	11 min 42 sec	-
13	155	Pippen, Scotty	G	50-5	4 min 5 sec	-
13	156	Schroder, Dennis	G	@jimmytheguy	14 min 12 sec	-
14	157	Oubre, Kelly	F	@jimmytheguy	22 min 56 sec	-
14	158	Kalkbrenner, Ryan	C	50-5	2 min 51 sec	-
14	159	George, Kyshawn	G	Draft29	45 min 10 sec	-
14	160	Whitmore, Cam	F	@Danellmer27	1 hour 39 min 33 sec	-
14	161	Horford, Al	C	LOLMets Support Group	5 min 53 sec	-
14	162	Kuzma, Kyle	FLEX	@kfredincali	25 min 1 sec	-
14	163	Hauser, Sam	F	Little Donny 2	30 min 42 sec	-
14	164	Stewart, Isaiah	F	@KenGill	5 sec	-
14	165	Mitchell, Davion	G	@Gamer_Gid	33 min 25 sec	-
14	166	Lopez, Brook	C	@Glinn	19 min 22 sec	-
14	167	Bailey, Ace	G	@Gdmets1986	2 hour	-
14	168	Boucher, Chris	F	M5 - Chicago Full of Bull	24 min 18 sec	-
15	169	Brooks, Dillon	F	M5 - Chicago Full of Bull	8 sec	-
15	170	Knecht, Dalton	F	@Gdmets1986	6 sec	-
15	171	Demin, Egor	F	@Glinn	6 min 44 sec	-
15	172	Hield, Buddy	G	@Gamer_Gid	59 min 36 sec	-
15	173	Harper, Dylan	G	@KenGill	6 sec	-
15	174	Dosunmu, Ayo	G	Little Donny 2	2 hour 17 min 35 sec	-
15	175	Jones, Tyus	FLEX	@kfredincali	0 sec	-
15	176	Ellis, Keon	G	LOLMets Support Group	0 sec	-
15	177	Clarkson, Jordan	G	@Danellmer27	20 min 5 sec	-
15	178	Sharpe, Day'Ron	F	Draft29	1 hour 28 min 23 sec	-
15	179	Toppin, Obi	F	50-5	4 min 11 sec	-
15	180	Ball, Lonzo	G	@jimmytheguy	2 hour	-
16	181	Trent, Gary	G	@jimmytheguy	6 sec	-
16	182	Valanciunas, Jonas	C	50-5	12 min 17 sec	-
16	183	Grant, Jerami	F	Draft29	41 min 40 sec	-
16	184	McCain, Jared	G	@Danellmer27	1 min 53 sec	-
16	185	Hendricks, Taylor	F	LOLMets Support Group	4 min 30 sec	-
16	186	Caruso, Alex	FLEX	@kfredincali	1 hour 44 min 3 sec	-
16	187	Mann, Terance	G	Little Donny 2	37 min 18 sec	-
16	188	Hachimura, Rui	F	@KenGill	1 hour 26 min 58 sec	-
16	189	Sochan, Jeremy	F	@Gamer_Gid	5 min 43 sec	-
16	190	Johnson, Tre	G	@Glinn	35 min 20 sec	-
16	191	Dort, Luguentz	F	@Gdmets1986	57 min 41 sec	-
16	192	Allen, Grayson	G	M5 - Chicago Full of Bull	17 min 49 sec	-
17	193	Bitadze, Goga	C	M5 - Chicago Full of Bull	3 sec	-
17	194	Anthony, Cole	G	@Gdmets1986	15 min 47 sec	-
17	195	Yabusele, Guerschon	F	@Glinn	21 min 42 sec	-
17	196	Maluach, Khaman	C	@Gamer_Gid	28 min 37 sec	-
17	197	Collins, Zach	F	@KenGill	15 min 34 sec	-
17	198	Williams, Jaylin	F	Little Donny 2	46 min 56 sec	-
17	199	Paul, Chris	FLEX	@kfredincali	36 min 7 sec	-
17	200	Williams, Ziaire	F	LOLMets Support Group	11 min 25 sec	-
17	201	LeVert, Caris	G	@Danellmer27	3 min 11 sec	-
17	202	Dunn, Ryan	F	Draft29	12 min 55 sec	-
17	203	Rollins, Ryan	G	50-5	10 min 42 sec	-
17	204	Queen, Derik	C	@jimmytheguy	56 min 39 sec	-
18	205	Huerter, Kevin	G	@jimmytheguy	1 min 29 sec	-
18	206	Robinson, Duncan	F	50-5	1 min 39 sec	-
18	207	Wiggins, Aaron	G	Draft29	29 min 41 sec	-
18	208	Garza, Luka	C	@Danellmer27	1 hour 1 sec	-
18	209	Dick, Gradey	G	LOLMets Support Group	3 min 18 sec	-
18	210	-		@kfredincali	0 sec	-
18	211	-		Little Donny 2	0 sec	-
18	212	-		@KenGill	0 sec	-
18	213	-		@Gamer_Gid	0 sec	-
18	214	-		@Glinn	0 sec	-
18	215	-		@Gdmets1986	0 sec	-
18	216	-		M5 - Chicago Full of Bull	0 sec	-
19	217	-		M5 - Chicago Full of Bull	0 sec	-
19	218	-		@Gdmets1986	0 sec	-
19	219	-		@Glinn	0 sec	-
19	220	-		@Gamer_Gid	0 sec	-
19	221	-		@KenGill	0 sec	-
19	222	-		Little Donny 2	0 sec	-
19	223	-		@kfredincali	0 sec	-
19	224	-		LOLMets Support Group	0 sec	-
19	225	-		@Danellmer27	0 sec	-
19	226	-		Draft29	0 sec	-
19	227	-		50-5	0 sec	-
19	228	-		@jimmytheguy	0 sec	-
20	229	-		@jimmytheguy	0 sec	-
20	230	-		50-5	0 sec	-
20	231	-		Draft29	0 sec	-
20	232	-		@Danellmer27	0 sec	-
20	233	-		LOLMets Support Group	0 sec	-
20	234	-		@kfredincali	0 sec	-
20	235	-		Little Donny 2	0 sec	-
20	236	-		@KenGill	0 sec	-
20	237	-		@Gamer_Gid	0 sec	-
20	238	-		@Glinn	0 sec	-
20	239	-		@Gdmets1986	0 sec	-
20	240	-		M5 - Chicago Full of Bull	0 sec	-
21	241	-		M5 - Chicago Full of Bull	0 sec	-
21	242	-		@Gdmets1986	0 sec	-
21	243	-		@Glinn	0 sec	-
21	244	-		@Gamer_Gid	0 sec	-
21	245	-		@KenGill	0 sec	-
21	246	-		Little Donny 2	0 sec	-
21	247	-		@kfredincali	0 sec	-
21	248	-		LOLMets Support Group	0 sec	-
21	249	-		@Danellmer27	0 sec	-
21	250	-		Draft29	0 sec	-
21	251	-		50-5	0 sec	-
21	252	-		@jimmytheguy	0 sec	-
22	253	-		@jimmytheguy	0 sec	-
22	254	-		50-5	0 sec	-
22	255	-		Draft29	0 sec	-
22	256	-		@Danellmer27	0 sec	-
22	257	-		LOLMets Support Group	0 sec	-
22	258	-		@kfredincali	0 sec	-
22	259	-		Little Donny 2	0 sec	-
22	260	-		@KenGill	0 sec	-
22	261	-		@Gamer_Gid	0 sec	-
22	262	-		@Glinn	0 sec	-
22	263	-		@Gdmets1986	0 sec	-
22	264	-		M5 - Chicago Full of Bull	0 sec	-
23	265	-		M5 - Chicago Full of Bull	0 sec	-
23	266	-		@Gdmets1986	0 sec	-
23	267	-		@Glinn	0 sec	-
23	268	-		@Gamer_Gid	0 sec	-
23	269	-		@KenGill	0 sec	-
23	270	-		Little Donny 2	0 sec	-
23	271	-		@kfredincali	0 sec	-
23	272	-		LOLMets Support Group	0 sec	-
23	273	-		@Danellmer27	0 sec	-
23	274	-		Draft29	0 sec	-
23	275	-		50-5	0 sec	-
23	276	-		@jimmytheguy	0 sec	-
24	277	-		@jimmytheguy	0 sec	-
24	278	-		50-5	0 sec	-
24	279	-		Draft29	0 sec	-
24	280	-		@Danellmer27	0 sec	-
24	281	-		LOLMets Support Group	0 sec	-
24	282	-		@kfredincali	0 sec	-
24	283	-		Little Donny 2	0 sec	-
24	284	-		@KenGill	0 sec	-
24	285	-		@Gamer_Gid	0 sec	-
24	286	-		@Glinn	0 sec	-
24	287	-		@Gdmets1986	0 sec	-
24	288	-		M5 - Chicago Full of Bull	0 sec	-
25	289	-		M5 - Chicago Full of Bull	0 sec	-
25	290	-		@Gdmets1986	0 sec	-
25	291	-		@Glinn	0 sec	-
25	292	-		@Gamer_Gid	0 sec	-
25	293	-		@KenGill	0 sec	-
25	294	-		Little Donny 2	0 sec	-
25	295	-		@kfredincali	0 sec	-
25	296	-		LOLMets Support Group	0 sec	-
25	297	-		@Danellmer27	0 sec	-
25	298	-		Draft29	0 sec	-
25	299	-		50-5	0 sec	-
25	300	-		@jimmytheguy	0 sec	-
