,,,,,Popular Stats,,,,,,Field Goals,,,Three Pointers,,,Free Throws,,,More Stats,
NAME,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB
Quentin Grimes,PHI,G,65,29.00000,15.35385,4.06154,3.18462,0.87692,0.40000,1.73846,5.40000,11.60000,46.6,2.32308,6.09231,38.1,2.23077,2.90769,76.7,1.03077,3.03077
Mouhamed Gueye,ATL,F,65,16.00000,6.10769,4.32308,0.87692,0.95385,1.04615,0.47692,2.18462,5.12308,42.6,0.69231,2.40000,28.8,1.04615,1.35385,77.3,0.87692,3.44615
Rui Hachimura,LAL,F,65,29.00000,11.43077,4.64615,1.30769,0.70769,0.35385,0.75385,4.32308,8.70769,49.6,1.47692,3.78462,39.0,1.30769,1.73846,75.2,0.72308,3.90769
Tyrese Haliburton,IND,G,10,20.20000,12.30000,2.40000,6.50000,0.90000,0.40000,1.60000,4.30000,9.20000,46.7,1.80000,4.70000,38.3,1.90000,2.20000,86.4,0.50000,1.90000
Yang Hansen,POR,C,70,18.00000,7.72857,4.31429,2.34286,0.35714,1.35714,1.44286,3.07143,6.58571,46.6,0.54286,1.80000,30.2,1.04286,1.25714,83.0,0.85714,3.45714
Tim Hardaway,DEN,F,72,19.90278,7.54167,1.79167,1.19444,0.40278,0.09722,0.54167,2.45833,6.16667,39.9,1.52778,4.18056,36.5,1.09722,1.29167,84.9,0.15278,1.63889
James Harden,LAC,G,69,34.40580,21.76812,5.33333,8.26087,1.13043,0.52174,4.13043,6.59420,15.65217,42.1,2.88406,7.91304,36.4,5.69565,6.53623,87.1,0.57971,4.73913
Jaden Hardy,DAL,G,60,13.00000,7.60000,1.73333,0.85000,0.25000,0.53333,0.80000,2.65000,6.06667,43.7,1.00000,2.58333,38.7,1.30000,1.60000,81.3,0.51667,1.21667
Dylan Harper,SAS,G,72,29.40278,14.38889,3.52778,2.93056,0.97222,0.31944,2.50000,5.23611,12.05556,43.4,1.65278,4.87500,33.9,2.26389,2.94444,76.9,0.70833,2.81944
Gary Harris,MIL,G,50,14.00000,3.88000,0.98000,0.88000,0.48000,0.08000,0.50000,1.36000,3.08000,44.2,0.82000,2.10000,39.0,0.34000,0.42000,81.0,0.30000,0.70000
Tobias Harris,DET,F,72,30.09722,12.75000,5.54167,1.86111,0.90278,0.66667,1.20833,4.93056,10.23611,48.2,1.18056,3.30556,35.7,1.70833,1.95833,87.2,0.86111,4.68056
Josh Hart,NYK,F,73,33.50685,11.43836,8.36986,4.68493,1.17808,0.24658,1.84932,4.30137,8.71233,49.4,1.00000,3.01370,33.2,1.83562,2.34247,78.4,1.34247,7.04110
Isaiah Hartenstein,OKC,C,68,26.00000,10.89706,9.88235,3.64706,0.85294,1.14706,1.55882,4.75000,7.58824,62.6,0.01471,0.05882,25.0,1.38235,2.00000,69.1,3.48529,6.39706
Sam Hauser,BOS,F,75,29.00000,13.10667,4.64000,2.02667,0.84000,0.37333,0.61333,4.60000,10.10667,45.5,3.36000,8.08000,41.6,0.54667,0.64000,85.4,0.80000,3.84000
Jordan Hawkins,NOP,G,67,23.10448,11.50746,3.00000,1.52239,0.58209,0.34328,0.92537,3.85075,9.70149,39.7,2.07463,5.77612,35.9,1.73134,2.05970,84.1,0.26866,2.74627
Jaxson Hayes,LAL,C,64,13.79688,6.46875,3.10938,0.42188,0.32813,0.54688,0.53125,2.40625,3.92188,61.4,0.20313,0.56250,36.1,1.45313,1.85938,78.2,1.14063,1.96875
Killian Hayes,CLE,G,4,9.00000,2.50000,1.25000,1.50000,0.50000,0.25000,0.50000,1.00000,2.50000,40.0,0.25000,1.00000,25.0,0.25000,0.50000,50.0,0.25000,1.00000
Nigel Hayes-Davis,PHX,F,58,15.79310,8.10345,4.10345,0.98276,0.79310,0.25862,0.84483,2.72414,5.68966,47.9,0.77586,2.05172,37.8,1.87931,2.17241,86.5,1.63793,2.46552
Scoot Henderson,POR,G,59,29.00000,14.55932,3.18644,5.50847,1.30508,0.37288,2.83051,4.71186,11.01695,42.8,1.93220,5.22034,37.0,3.20339,4.06780,78.8,0.61017,2.59322
Taylor Hendricks,UTA,F,65,23.50769,9.16923,5.16923,1.06154,0.93846,1.06154,0.70769,3.26154,7.29231,44.7,1.60000,4.23077,37.8,1.04615,1.29231,81.0,1.04615,4.12308
Tyler Herro,MIA,G,52,34.00000,22.76923,5.09615,5.44231,0.84615,0.13462,2.55769,7.98077,17.51923,45.6,3.21154,8.32692,38.6,3.59615,4.07692,88.2,0.50000,4.59615
Buddy Hield,GSW,G,81,23.00000,10.70370,2.98765,2.18519,0.66667,0.23457,1.14815,3.88889,8.97531,43.3,2.33333,5.97531,39.0,0.59259,0.69136,85.7,0.55556,2.43210
Haywood Highsmith,BKN,F,65,19.80000,5.70769,3.15385,1.38462,0.78462,0.36923,0.60000,2.09231,4.75385,44.0,1.10769,2.96923,37.3,0.41538,0.60000,69.2,1.21538,1.93846
Aaron Holiday,HOU,G,60,16.00000,6.26667,1.91667,2.40000,0.65000,0.13333,1.05000,2.36667,5.30000,44.7,0.61667,1.61667,38.1,0.91667,1.06667,85.9,0.38333,1.53333
Jrue Holiday,POR,G,65,30.00000,10.75385,4.04615,4.20000,0.98462,0.44615,1.64615,4.09231,9.00000,45.5,1.69231,4.50769,37.5,0.87692,1.04615,83.8,0.92308,3.12308
Ronald Holland,DET,F,75,20.00000,8.08000,3.33333,1.68000,0.82667,0.64000,1.48000,3.29333,7.30667,45.1,0.52000,1.98667,26.2,0.97333,1.40000,69.5,0.48000,2.85333
DaRon Holmes,DEN,C,60,10.00000,4.50000,2.90000,0.66667,0.43333,0.76667,0.50000,1.68333,3.08333,54.6,0.31667,0.88333,35.8,0.81667,1.20000,68.1,0.73333,2.18333
Chet Holmgren,OKC,C,68,30.00000,18.02941,8.70588,2.39706,0.80882,2.51471,2.14706,6.32353,12.00000,52.7,1.63235,4.20588,38.8,3.75000,4.79412,78.2,2.60294,6.08824
Al Horford,GSW,C,62,23.30645,7.33871,5.12903,1.87097,0.51613,0.69355,0.69355,2.62903,5.75806,45.7,1.69355,4.12903,41.0,0.38710,0.46774,82.8,1.04839,4.08065
Caleb Houstan,ATL,F,50,9.40000,4.10000,3.26000,0.60000,0.18000,0.40000,0.58000,1.58000,3.54000,44.6,0.32000,1.04000,30.8,0.62000,0.82000,75.6,0.98000,2.28000
Jett Howard,ORL,F,55,12.50909,5.32727,1.45455,0.61818,0.27273,0.25455,0.69091,1.81818,4.50909,40.3,0.94545,2.74545,34.4,0.74545,0.92727,80.4,0.29091,1.16364
Kevin Huerter,CHI,G,71,23.00000,9.77465,2.67606,2.14085,0.69014,0.26761,0.95775,3.60563,8.14085,44.3,1.78873,4.83099,37.0,0.77465,1.01408,76.4,0.33803,2.33803
Jay Huff,IND,C,65,22.00000,12.35385,4.18462,1.10769,0.64615,1.64615,0.89231,4.35385,8.58462,50.7,2.20000,5.50769,39.9,1.44615,1.76923,81.7,0.90769,3.27692
De'Andre Hunter,CLE,F,65,26.90769,14.78462,3.76923,1.40000,0.75385,0.32308,1.07692,4.95385,11.03077,44.9,2.15385,5.64615,38.1,2.72308,3.23077,84.3,0.55385,3.21538
Bones Hyland,MIN,G,50,15.20000,7.84000,2.18000,2.28000,0.48000,0.24000,1.00000,2.64000,6.34000,41.6,1.46000,3.88000,37.6,1.10000,1.30000,84.6,0.16000,2.02000
Joe Ingles,MIN,F,58,14.00000,4.53448,1.63793,1.96552,0.29310,0.06897,0.56897,1.50000,3.55172,42.2,1.05172,2.81034,37.4,0.48276,0.62069,77.8,0.15517,1.48276
Brandon Ingram,TOR,F,63,33.00000,19.50794,4.95238,4.61905,0.82540,0.66667,2.66667,7.36508,15.50794,47.5,1.71429,4.61905,37.1,3.06349,3.63492,84.3,0.53968,4.41270
Kyrie Irving,DAL,G,28,29.10714,17.64286,3.50000,3.78571,0.85714,0.28571,1.96429,6.50000,14.25000,45.6,2.03571,5.53571,36.8,2.60714,2.89286,90.1,0.42857,3.03571
Jonathan Isaac,ORL,F,58,16.00000,6.08621,4.63793,0.63793,0.79310,1.18966,0.48276,2.15517,4.79310,45.0,0.74138,2.24138,33.1,1.03448,1.44828,71.4,1.15517,3.48276
Jaden Ivey,DET,G,68,30.00000,17.86765,4.20588,4.20588,1.04412,0.45588,2.70588,6.27941,14.10294,44.5,2.16176,5.70588,37.9,3.14706,4.20588,74.8,1.26471,2.94118
Andre Jackson,MIL,F,68,15.00000,3.80882,2.85294,1.35294,0.60294,0.22059,0.75000,1.50000,3.00000,50.0,0.48529,1.20588,40.2,0.32353,0.45588,71.0,0.70588,2.13235
GG Jackson,MEM,F,65,15.00000,8.69231,2.81538,0.66154,0.35385,0.35385,0.98462,3.24615,7.27692,44.6,1.18462,3.29231,36.0,1.01538,1.32308,76.7,0.40000,2.41538
Isaiah Jackson,IND,C,60,19.00000,8.33333,5.23333,0.35000,0.88333,1.53333,1.40000,3.28333,5.68333,57.8,0.10000,0.41667,24.0,1.66667,2.53333,65.8,2.10000,3.13333
Jaren Jackson,MEM,F,62,29.50000,21.74194,5.30645,2.06452,1.06452,1.46774,2.06452,7.69355,16.22581,47.4,1.85484,5.30645,35.0,4.50000,5.61290,80.2,1.38710,3.91935
Trayce Jackson-Davis,GSW,C,72,17.00000,6.36111,4.93056,1.19444,0.40278,1.01389,0.68056,2.73611,4.25000,64.4,0.00000,0.00000,0.0,0.88889,1.52778,58.2,1.23611,3.69444
Kasparas Jakucionis,MIA,G,62,14.19355,7.46774,1.98387,2.19355,0.46774,0.14516,1.56452,2.64516,5.75806,45.9,0.64516,1.98387,32.5,1.53226,1.79032,85.6,0.40323,1.59677
Bronny James,LAL,G,25,4.72000,2.08000,1.04000,0.36000,0.24000,0.08000,0.36000,0.76000,1.92000,39.6,0.28000,0.88000,31.8,0.28000,0.36000,77.8,0.24000,0.76000
LeBron James,LAL,F,66,34.00000,23.86364,6.80303,7.48485,1.01515,0.53030,3.06061,9.18182,17.84848,51.4,2.24242,5.77273,38.8,3.25758,4.25758,76.5,0.93939,5.86364
Jaime Jaquez,MIA,F,70,25.00000,11.72857,5.25714,3.37143,1.12857,0.35714,1.75714,4.35714,9.05714,48.1,0.84286,2.55714,33.0,2.17143,2.75714,78.8,1.07143,4.18571
Ty Jerome,MEM,G,65,20.10769,12.06154,1.95385,3.41538,1.00000,0.12308,1.30769,4.41538,8.84615,49.9,1.47692,3.61538,40.9,1.75385,2.01538,87.0,0.47692,1.47692
Isaiah Joe,OKC,G,72,23.00000,11.26389,2.98611,1.83333,0.69444,0.18056,0.72222,3.87500,8.73611,44.4,2.73611,6.66667,41.0,0.77778,0.91667,84.8,0.31944,2.66667
AJ Johnson,WAS,G,60,15.40000,6.20000,1.53333,2.16667,0.36667,0.13333,0.93333,2.26667,5.55000,40.8,0.76667,2.46667,31.1,0.90000,1.06667,84.4,0.38333,1.15000
Cameron Johnson,DEN,F,63,30.00000,16.30159,4.20635,2.39683,1.04762,0.30159,1.20635,5.73016,11.87302,48.3,2.77778,6.77778,41.0,2.06349,2.39683,86.1,0.65079,3.55556
Jalen Johnson,ATL,F,69,35.00000,20.08696,9.10145,5.24638,1.40580,0.91304,2.44928,8.04348,16.10145,50.0,1.39130,4.20290,33.1,2.60870,3.50725,74.4,0.69565,8.40580
Keldon Johnson,SAS,F,70,24.00000,12.14286,4.55714,1.80000,0.67143,0.21429,0.95714,4.42857,9.35714,47.3,1.25714,3.60000,34.9,2.02857,2.64286,76.8,0.80000,3.75714
Tre Johnson,WAS,G,75,28.60000,15.82667,2.57333,2.29333,0.72000,0.22667,2.29333,5.37333,13.21333,40.7,2.10667,5.77333,36.5,2.97333,3.42667,86.8,0.52000,2.05333
Nikola Jokic,DEN,C,74,34.00000,26.66216,11.79730,9.35135,1.52703,0.67568,3.05405,10.14865,17.51351,57.9,1.66216,4.25676,39.0,4.70270,5.78378,81.3,2.37838,9.41892
Derrick Jones,LAC,F,70,23.30000,9.37143,3.35714,0.81429,0.92857,0.62857,0.77143,3.64286,6.98571,52.1,0.90000,2.55714,35.2,1.18571,1.62857,72.8,1.18571,2.15714
Dillon Jones,WAS,F,63,13.09524,7.34921,1.52381,2.01587,0.30159,0.07937,0.96825,2.77778,6.85714,40.5,1.03175,2.87302,35.9,0.76190,0.92063,82.8,0.22222,1.30159
Herbert Jones,NOP,F,70,30.00000,11.48571,3.80000,2.55714,1.58571,0.65714,1.28571,4.14286,8.95714,46.3,1.38571,3.85714,35.9,1.81429,2.21429,81.9,1.25714,2.54286
Tre Jones,CHI,G,70,19.80000,6.90000,2.67143,4.42857,0.77143,0.11429,0.98571,2.65714,5.34286,49.7,0.47143,1.38571,34.0,1.11429,1.30000,85.7,0.50000,2.17143
Tyus Jones,ORL,G,76,25.00000,9.76316,2.47368,4.97368,1.00000,0.02632,0.73684,3.90789,8.75000,44.7,1.26316,3.25000,38.9,0.68421,0.82895,82.5,0.23684,2.23684
Nikola Jovic,MIA,F,60,26.00000,11.91667,4.41667,3.38333,0.78333,0.38333,1.56667,4.06667,8.83333,46.0,1.91667,4.93333,38.9,1.86667,2.33333,80.0,1.33333,3.10000
Ryan Kalkbrenner,CHA,C,71,20.39437,8.45070,5.30986,0.90141,0.40845,1.36620,1.14085,3.46479,5.78873,59.9,0.28169,0.90141,31.3,1.23944,1.78873,69.3,1.38028,3.92958
Luke Kennard,ATL,G,65,19.00000,7.92308,2.26154,2.66154,0.47692,0.16923,0.95385,2.73846,5.75385,47.6,1.75385,3.80000,46.2,0.69231,0.76923,90.0,0.20000,2.07692
Walker Kessler,UTA,C,68,30.00000,11.23529,12.00000,1.79412,0.67647,2.70588,1.50000,4.89706,7.05882,69.4,0.02941,0.16176,18.2,1.41176,2.60294,54.2,3.60294,8.39706
Braxton Key,MEM,F,2,4.50000,1.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.50000,1.50000,33.3,0.00000,0.50000,0.0,0.00000,0.50000,0.0,0.50000,1.00000
Corey Kispert,WAS,F,75,24.90667,12.09333,2.73333,1.74667,0.48000,0.25333,1.49333,4.36000,8.96000,48.7,2.04000,5.22667,39.0,1.33333,1.64000,81.3,0.69333,2.04000
Maxi Kleber,LAL,C,60,15.50000,4.38333,3.73333,0.73333,0.31667,0.61667,0.50000,1.50000,3.78333,39.6,0.88333,2.73333,32.3,0.50000,0.70000,71.4,0.75000,3.00000
Bobi Klintman,DET,F,48,9.50000,3.39583,2.27083,0.47917,0.37500,0.18750,0.29167,1.35417,3.12500,43.3,0.25000,0.85417,29.3,0.43750,0.56250,77.8,0.56250,1.70833
Dalton Knecht,LAL,F,75,19.00000,10.42667,2.85333,0.94667,0.44000,0.18667,0.57333,3.64000,7.78667,46.7,1.85333,4.74667,39.0,1.29333,1.66667,77.6,0.41333,2.44000
Kon Knueppel,CHA,F,74,27.00000,12.91892,4.32432,2.97297,0.81081,0.16216,2.29730,4.48649,9.93243,45.2,1.95946,5.08108,38.6,1.98649,2.21622,89.6,0.86486,3.45946
Tyler Kolek,NYK,G,63,9.20635,5.15873,1.06349,1.41270,0.22222,0.06349,0.68254,1.95238,4.80952,40.6,0.71429,2.01587,35.4,0.53968,0.63492,85.0,0.15873,0.92063
John Konchar,MEM,F,58,16.70690,4.50000,4.25862,1.41379,0.74138,0.27586,0.37931,1.74138,3.37931,51.5,0.67241,1.62069,41.5,0.34483,0.63793,54.1,1.12069,3.12069
Luke Kornet,SAS,C,66,14.69697,4.98485,3.96970,1.10606,0.31818,0.87879,0.40909,2.07576,3.09091,67.2,0.04545,0.15152,30.0,0.78788,1.03030,76.5,1.77273,2.19697
Vit Krejci,ATL,G,53,14.00000,4.30189,1.71698,1.37736,0.37736,0.16981,0.58491,1.58491,3.39623,46.7,0.75472,1.98113,38.1,0.37736,0.45283,83.3,0.30189,1.39623
Jonathan Kuminga,GSW,F,68,26.00000,14.20588,4.30882,2.02941,0.80882,0.39706,1.29412,5.20588,10.97059,47.5,0.94118,2.91176,32.3,2.85294,3.95588,72.1,1.00000,3.32353
Kyle Kuzma,MIL,F,68,33.00000,17.80882,6.26471,3.29412,0.55882,0.55882,2.52941,6.67647,15.17647,44.0,2.04412,6.26471,32.6,2.41176,3.29412,73.2,0.77941,5.48529
Jock Landale,MEM,C,65,18.00000,8.07692,4.21538,1.36923,0.30769,0.43077,0.95385,3.03077,5.93846,51.0,0.49231,1.98462,24.8,1.52308,1.98462,76.7,1.92308,2.29231
Jake LaRavia,LAL,F,46,12.69565,6.50000,2.23913,0.82609,0.23913,0.17391,0.78261,2.50000,4.47826,55.8,0.36957,1.08696,34.0,1.13043,1.56522,72.2,0.67391,1.56522
Zach LaVine,SAC,F,69,34.00000,21.40580,3.73913,3.91304,0.68116,0.27536,2.49275,7.73913,16.11594,48.0,2.76812,6.94203,39.9,3.15942,3.73913,84.5,0.26087,3.47826
Alex Len,NYK,C,32,6.00000,2.28125,1.56250,0.43750,0.12500,0.25000,0.40625,0.90625,1.71875,52.7,0.06250,0.21875,28.6,0.40625,0.62500,65.0,0.50000,1.06250
Kawhi Leonard,LAC,F,55,31.40000,23.63636,6.60000,3.76364,1.56364,0.40000,2.20000,9.20000,18.05455,51.0,2.27273,5.49091,41.4,2.96364,3.45455,85.8,0.81818,5.76364
Caris LeVert,DET,G,65,23.30769,10.55385,3.03077,3.30769,0.76923,0.35385,1.27692,3.72308,8.61538,43.2,1.44615,3.95385,36.6,1.66154,2.23077,74.5,0.61538,2.41538
E.J. Liddell,BKN,F,39,7.69231,3.94872,2.66667,0.48718,0.15385,0.30769,0.46154,1.51282,2.71795,55.7,0.23077,0.66667,34.6,0.69231,0.94872,73.0,0.79487,1.87179
Damian Lillard,POR,G,15,22.53333,15.60000,2.80000,4.53333,0.60000,0.13333,1.60000,5.06667,11.40000,44.4,2.06667,5.73333,36.0,3.40000,3.73333,91.1,0.33333,2.46667
Dereck Lively,DAL,C,65,26.00000,10.56923,8.58462,2.60000,0.72308,1.81538,1.16923,4.49231,6.24615,71.9,0.00000,0.00000,0.0,1.58462,2.60000,60.9,3.26154,5.30769
Isaiah Livers,PHX,F,56,17.10714,5.42857,2.55357,0.94643,0.58929,0.32143,0.67857,1.83929,4.01786,45.8,1.21429,2.85714,42.5,0.53571,0.62500,85.7,0.67857,1.87500
Kevon Looney,NOP,C,76,14.00000,4.09211,5.43421,1.39474,0.40789,0.42105,0.46053,1.69737,2.93421,57.8,0.00000,0.00000,0.0,0.69737,1.11842,62.4,1.89474,3.53947
Brook Lopez,LAC,C,75,19.90667,7.49333,3.18667,1.00000,0.37333,1.20000,0.69333,2.78667,5.57333,50.0,1.02667,2.78667,36.8,0.89333,1.09333,81.7,1.14667,2.04000
Kevin Love,UTA,C,45,8.00000,4.46667,2.64444,0.95556,0.13333,0.08889,0.46667,1.46667,3.57778,41.0,0.80000,2.37778,33.6,0.73333,0.84444,86.8,0.42222,2.22222
Kyle Lowry,PHI,G,54,15.00000,4.05556,1.66667,2.33333,0.46296,0.11111,1.18519,1.35185,3.14815,42.9,0.77778,2.00000,38.9,0.57407,0.66667,86.1,0.20370,1.46296
Khaman Maluach,PHX,C,71,21.09859,10.52113,5.49296,0.42254,0.42254,1.15493,1.57746,4.00000,7.80282,51.3,0.57746,2.11268,27.3,1.94366,2.53521,76.7,1.09859,4.39437
Sandro Mamukelashvili,TOR,C,35,6.71429,2.54286,1.34286,0.37143,0.14286,0.14286,0.25714,0.94286,1.88571,50.0,0.37143,0.85714,43.3,0.28571,0.37143,76.9,0.57143,0.77143
Terance Mann,BKN,G,70,20.00000,8.44286,3.20000,1.80000,0.65714,0.20000,0.72857,3.17143,6.40000,49.6,1.01429,2.80000,36.2,1.08571,1.41429,76.8,0.78571,2.41429
Tre Mann,CHA,G,65,17.00000,8.15385,2.38462,2.44615,0.67692,0.15385,0.87692,3.06154,7.30769,41.9,1.24615,3.38462,36.8,0.78462,1.01538,77.3,0.35385,2.03077
Lauri Markkanen,UTA,F,65,31.90769,20.55385,6.38462,1.84615,0.76923,0.50769,1.60000,6.73846,15.00000,44.9,3.04615,8.29231,36.7,4.03077,4.63077,87.0,1.09231,5.29231
Naji Marshall,DAL,F,70,19.00000,8.22857,3.22857,2.00000,0.67143,0.18571,1.10000,3.07143,6.45714,47.6,0.72857,2.28571,31.9,1.35714,1.71429,79.2,0.87143,2.37143
Caleb Martin,DAL,F,65,22.00000,8.70769,4.03077,1.75385,0.92308,0.47692,0.83077,3.21538,7.26154,44.3,1.10769,3.16923,35.0,1.16923,1.49231,78.4,1.23077,2.80000
Garrison Mathews,NYK,G,40,8.80000,3.45000,0.97500,0.32500,0.30000,0.12500,0.20000,0.97500,2.37500,41.1,0.75000,1.97500,38.0,0.75000,0.92500,81.1,0.17500,0.80000
Bennedict Mathurin,IND,F,73,30.00000,17.83562,5.39726,2.31507,0.75342,0.32877,2.09589,5.82192,12.90411,45.1,1.46575,4.20548,34.9,4.72603,5.69863,82.9,1.61644,3.78082
Karlo Matkovic,NOP,C,65,13.80000,6.07692,2.89231,1.24615,0.55385,0.83077,0.41538,2.50769,4.69231,53.4,0.38462,1.10769,34.7,0.67692,0.90769,74.6,0.72308,2.16923
Tyrese Maxey,PHI,G,69,35.79710,25.78261,3.47826,6.44928,1.43478,0.43478,2.14493,8.92754,20.04348,44.5,3.30435,8.95652,36.9,4.62319,5.37681,86.0,0.37681,3.10145
Miles McBride,NYK,G,64,23.70313,10.57813,2.14063,2.60938,0.95313,0.18750,0.59375,3.82813,8.76563,43.7,2.03125,5.21875,38.9,0.89063,1.06250,83.8,0.20313,1.93750
Jared McCain,PHI,G,60,24.00000,13.71667,2.63333,2.66667,0.76667,0.10000,1.43333,4.95000,10.31667,48.0,1.91667,4.80000,39.9,1.90000,2.16667,87.7,0.38333,2.26667
CJ McCollum,WAS,G,68,30.00000,18.20588,3.60294,4.20588,0.75000,0.35294,1.77941,6.75000,15.14706,44.6,3.08824,7.64706,40.4,1.61765,2.10294,76.9,0.70588,2.89706
T.J. McConnell,IND,G,72,24.90278,13.27778,3.43056,6.97222,1.37500,0.25000,2.23611,5.79167,11.05556,52.4,0.41667,1.09722,38.0,1.27778,1.62500,78.6,0.76389,2.66667
Jaden McDaniels,MIN,F,74,32.00000,12.51351,6.08108,1.40541,1.08108,0.85135,1.33784,4.97297,10.17568,48.9,1.27027,3.77027,33.7,1.29730,1.75676,73.8,1.58108,4.50000
Jalen McDaniels,NOP,F,10,5.00000,1.90000,0.90000,0.30000,0.10000,0.10000,0.20000,0.70000,1.40000,50.0,0.20000,0.60000,33.3,0.30000,0.40000,75.0,0.20000,0.70000
Doug McDermott,SAC,F,65,19.70769,9.75385,1.84615,1.03077,0.21538,0.09231,0.69231,3.60000,7.87692,45.7,1.89231,4.52308,41.8,0.66154,0.81538,81.1,0.29231,1.56923
Bryce McGowens,NOP,G,40,13.10000,6.72500,4.55000,0.85000,0.25000,0.55000,0.80000,2.57500,4.62500,55.7,0.40000,1.12500,35.6,1.17500,1.60000,73.4,1.37500,3.20000
Jordan McLaughlin,SAS,G,59,12.59322,3.27119,1.30508,2.50847,0.79661,0.13559,0.52542,1.23729,2.79661,44.2,0.37288,1.18644,31.4,0.42373,0.55932,75.8,0.30508,1.00000
Liam McNeeley,CHA,F,62,9.80645,4.90323,1.85484,1.19355,0.32258,0.25806,0.83871,1.72581,3.79032,45.5,0.41935,1.17742,35.6,1.03226,1.24194,83.1,0.37097,1.48387
De'Anthony Melton,GSW,G,65,15.00000,5.83077,2.15385,1.50769,0.90769,0.30769,1.01538,2.01538,4.95385,40.7,1.06154,2.84615,37.3,0.73846,0.90769,81.4,0.41538,1.73846
Khris Middleton,WAS,F,60,24.00000,12.50000,3.36667,3.60000,0.80000,0.16667,1.68333,4.60000,9.60000,47.9,1.45000,3.83333,37.8,1.85000,2.16667,85.4,0.38333,2.96667
Brandon Miller,CHA,F,70,34.50000,22.97143,4.97143,3.80000,1.27143,0.72857,2.75714,8.05714,18.97143,42.5,3.92857,10.35714,37.9,2.92857,3.45714,84.7,0.64286,4.32857
Leonard Miller,MIN,F,44,6.90909,2.68182,0.79545,1.04545,0.29545,0.18182,0.38636,0.97727,2.22727,43.9,0.31818,0.84091,37.8,0.40909,0.52273,78.3,0.15909,0.63636
Josh Minott,BOS,F,31,3.38710,1.74194,1.19355,0.22581,0.06452,0.12903,0.19355,0.67742,1.19355,56.8,0.09677,0.29032,33.3,0.29032,0.41935,69.2,0.35484,0.83871
Yves Missi,NOP,C,75,28.00000,10.22667,8.96000,1.54667,0.61333,1.54667,1.12000,4.04000,7.00000,57.7,0.00000,0.00000,0.0,2.14667,3.36000,63.9,2.60000,6.36000
Ajay Mitchell,OKC,G,60,19.00000,8.18333,2.38333,2.46667,0.81667,0.16667,1.16667,3.05000,6.26667,48.7,0.78333,2.08333,37.6,1.30000,1.61667,80.4,0.71667,1.66667
Davion Mitchell,MIA,G,75,29.00000,8.74667,2.32000,4.37333,1.01333,0.29333,1.58667,3.36000,7.25333,46.3,1.20000,3.18667,37.7,0.82667,1.18667,69.7,0.46667,1.85333
Donovan Mitchell,CLE,G,68,32.00000,24.67647,4.48529,5.05882,1.39706,0.38235,2.47059,8.47059,18.55882,45.6,3.38235,8.95588,37.8,4.35294,5.11765,85.1,0.86765,3.60294
