,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
140,Bones Hyland,MIN,G,56,19.4,11.8,2.4,3.1,0.7,0.3,2.1,39.9,84.3,1.5,5.6,37.1,4.1,10.2,1.5,1.8,0.0,0.0,1.7,20.7
141,Lonnie Walker,FA,G,56,23.1,11.7,1.9,1.1,0.5,0.3,1.6,44.8,85.8,0.8,4.4,36.5,4.2,9.4,1.6,1.9,0.0,0.0,1.3,17.4
142,Zach Collins,CHI,C,63,22.9,11.6,6.4,2.9,0.6,0.8,0.9,51.8,76.1,2.0,2.3,37.4,4.5,8.7,1.7,2.3,0.1,0.0,3.2,25.6
T143,Marcus Smart,LAL,G,61,32.1,11.5,3.1,6.3,1.5,0.4,1.9,41.5,74.6,2.3,5.6,33.6,4.1,9.9,1.4,1.9,0.1,0.0,2.8,28.0
T143,Max Strus,CLE,F,80,28.4,11.5,3.2,2.1,0.5,0.2,2.5,41.0,87.6,0.9,7.0,35.0,4.1,9.9,1.0,1.1,0.0,0.0,2.1,19.8
T143,Naz Reid,MIN,C,68,18.4,11.5,4.9,1.1,0.6,0.8,1.1,53.7,67.7,1.4,3.2,34.6,4.6,8.5,1.3,1.9,0.1,0.0,2.6,21.9
T143,Bruce Brown,DEN,G,80,28.5,11.5,4.1,3.4,1.1,0.6,1.1,48.3,75.8,1.5,3.2,35.8,4.5,9.3,1.5,1.9,0.0,0.0,2.4,25.1
147,John Wall,FA,G,34,22.1,11.4,2.7,5.2,0.8,0.4,1.0,40.8,68.1,2.4,3.2,30.3,4.1,9.9,2.3,3.3,0.0,0.0,1.7,23.5
T148,Quentin Grimes,PHI,G,71,29.8,11.3,3.2,2.1,0.7,0.4,2.2,46.8,79.6,1.0,5.7,38.6,4.0,8.5,1.1,1.4,0.0,0.0,2.5,20.4
T148,Isaiah Stewart,DET,F,50,28.2,11.3,8.1,1.4,0.4,0.7,1.3,44.2,73.8,1.4,4.1,32.7,3.9,8.8,2.2,3.0,0.3,0.0,2.7,25.0
T150,Marcus Morris,FA,F,65,28.1,11.2,4.0,1.8,0.6,0.3,1.7,42.6,78.2,0.9,4.7,36.5,4.2,9.9,1.0,1.3,0.0,0.0,2.1,20.6
T150,Rui Hachimura,LAL,F,63,23.3,11.2,4.5,0.9,0.3,0.4,0.8,48.6,73.9,0.8,2.5,31.9,4.5,9.3,1.4,1.9,0.0,0.0,1.1,19.3
T150,Kyle Lowry,PHI,G,55,31.2,11.2,4.1,5.1,1.0,0.4,1.9,40.4,85.9,1.9,5.6,34.5,3.6,8.8,2.1,2.5,0.0,0.0,2.6,26.1
153,Corey Kispert,WAS,F,74,28.3,11.1,2.8,1.2,0.4,0.1,2.2,49.7,85.2,0.7,5.2,42.4,3.9,7.9,1.0,1.2,0.0,0.0,1.3,17.1
154,Jeremy Sochan,SAS,F,56,26.0,11.0,5.3,2.5,0.8,0.4,0.6,45.3,69.8,1.7,2.4,24.6,4.5,9.9,1.4,2.1,0.0,0.0,2.5,22.9
T155,Jaylen Nowell,FA,G,65,19.2,10.8,2.6,2.0,0.6,0.1,1.0,44.8,77.8,1.0,3.6,28.9,4.3,9.6,1.2,1.5,0.0,0.0,1.6,18.2
T155,Mason Plumlee,CHA,C,79,25.9,10.8,8.9,3.1,0.6,0.6,0.0,68.0,63.6,1.5,0.0,0.0,4.2,6.1,2.5,4.0,0.3,0.0,2.7,28.2
T155,Ivica Zubac,LAC,C,76,28.6,10.8,9.9,1.0,0.4,1.3,0.0,63.4,69.7,1.5,0.0,0.0,4.3,6.8,2.2,3.1,0.4,0.0,2.9,27.7
T155,Kentavious Caldwell-Pope,MEM,G,76,31.4,10.8,2.7,2.4,1.5,0.5,1.8,46.2,82.4,1.1,4.2,42.3,3.8,8.3,1.4,1.6,0.0,0.0,1.9,22.4
T159,Talen Horton-Tucker,FA,G,65,20.2,10.7,3.2,3.8,0.6,0.4,0.9,41.9,75.0,1.9,3.1,28.6,4.0,9.4,1.9,2.6,0.0,0.0,1.7,21.6
T159,Victor Oladipo,FA,G,42,26.3,10.7,3.0,3.5,1.4,0.3,1.7,39.7,74.7,2.1,5.0,33.0,3.8,9.6,1.4,1.9,0.0,0.0,2.4,22.4
T161,Cam Thomas,BKN,G,57,16.6,10.6,1.7,1.4,0.4,0.1,0.9,44.1,86.8,1.1,2.3,38.3,3.5,8.0,2.6,3.1,0.0,0.0,1.0,15.0
T161,Nate Williams,LAL,G,5,25.2,10.6,3.0,2.0,0.6,0.4,0.6,61.5,66.7,0.8,1.6,37.5,4.8,7.8,0.4,0.6,0.0,0.0,2.6,19.4
163,Moritz Wagner,ORL,C,57,19.5,10.5,4.5,1.5,0.6,0.2,0.9,50.0,84.1,1.2,2.9,31.3,3.5,6.9,2.7,3.2,0.1,0.0,2.4,19.6
164,Grayson Allen,PHO,G,72,27.4,10.4,3.3,2.3,0.9,0.2,2.0,44.0,90.5,1.0,5.1,39.9,3.4,7.7,1.6,1.8,0.0,0.0,1.6,19.9
T165,Monte Morris,FA,G,62,27.3,10.3,3.4,5.3,0.7,0.2,1.3,48.0,83.1,1.0,3.3,38.2,4.0,8.3,1.0,1.2,0.0,0.0,1.2,24.0
T165,Cameron Payne,FA,G,48,20.3,10.3,2.2,4.5,0.7,0.2,1.4,41.5,76.6,1.7,3.9,36.8,3.9,9.4,1.0,1.3,0.1,0.0,1.8,20.5
T165,Killian Hayes,CLE,G,76,28.4,10.3,2.9,6.2,1.4,0.4,1.1,37.7,82.1,2.3,3.8,28.0,4.0,10.7,1.2,1.5,0.1,0.0,2.9,26.0
T165,Tyus Jones,ORL,G,80,24.2,10.3,2.5,5.2,1.0,0.1,1.5,43.8,80.0,0.9,4.1,37.1,3.9,8.9,1.0,1.3,0.1,0.0,0.4,23.5
T169,Patrick Williams,CHI,F,82,28.4,10.2,4.0,1.2,0.9,0.9,1.4,46.4,85.7,1.2,3.4,41.5,3.8,8.3,1.1,1.3,0.0,0.0,1.8,20.7
T169,Malaki Branham,WAS,G,66,23.5,10.2,2.7,1.9,0.5,0.1,1.2,44.0,82.9,1.2,3.9,30.2,4.1,9.3,0.9,1.1,0.0,0.0,1.7,17.0
T169,Doug McDermott,SAC,F,64,20.5,10.2,2.2,1.4,0.2,0.1,1.9,45.7,75.7,0.9,4.7,41.3,3.7,8.2,0.8,1.1,0.0,0.0,1.8,14.9
T169,Reggie Jackson,FA,G,68,24.3,10.2,2.1,3.4,0.7,0.1,1.4,41.1,91.0,1.7,4.2,33.3,3.9,9.4,1.0,1.1,0.0,0.0,1.7,18.5
T173,De'Anthony Melton,GSW,G,77,27.9,10.1,4.1,2.6,1.6,0.5,2.0,42.5,79.3,1.3,5.2,39.0,3.6,8.5,0.9,1.1,0.0,0.0,2.5,24.0
T173,Aaron Nesmith,IND,F,73,24.9,10.1,3.8,1.3,0.8,0.5,1.6,42.7,83.8,1.0,4.3,36.6,3.5,8.1,1.6,1.9,0.0,0.0,3.2,19.3
T173,Josh Richardson,FA,G,65,23.6,10.1,2.7,2.7,1.1,0.3,1.6,43.1,85.2,1.3,4.5,36.5,3.7,8.5,1.1,1.2,0.0,0.0,1.8,20.1
T176,Brandon Clarke,MEM,C,56,19.4,10.0,5.5,1.3,0.6,0.7,0.0,65.6,72.3,1.0,0.1,16.7,4.1,6.2,1.8,2.4,0.1,0.0,2.3,21.4
T176,James Wiseman,IND,C,45,19.3,10.0,5.9,0.7,0.2,0.6,0.1,55.8,70.1,1.1,0.4,20.0,4.2,7.5,1.5,2.2,0.2,0.0,2.4,19.3
T178,Onyeka Okongwu,ATL,C,80,23.1,9.9,7.2,1.0,0.7,1.3,0.1,63.8,78.1,1.0,0.2,30.8,4.0,6.2,1.9,2.5,0.2,0.0,3.1,25.1
T178,Shaedon Sharpe,POR,G,80,22.2,9.9,3.0,1.2,0.5,0.3,1.3,47.2,71.4,1.0,3.5,36.0,3.8,8.1,0.9,1.3,0.0,0.0,1.7,16.5
T178,Luka Samanic,FA,F,7,23.0,9.9,4.3,2.1,0.9,0.3,1.1,45.6,69.2,1.4,4.4,25.8,3.7,8.1,1.3,1.9,0.0,0.0,2.4,20.2
T178,Jonathan Kuminga,GSW,F,67,20.8,9.9,3.4,1.9,0.6,0.5,0.8,52.5,65.2,1.4,2.2,37.0,3.9,7.4,1.3,2.1,0.0,0.0,2.3,18.7
T178,Jalen Suggs,ORL,G,53,23.5,9.9,3.0,2.9,1.3,0.5,1.2,41.9,72.3,1.8,3.8,32.7,3.5,8.4,1.6,2.2,0.0,0.0,2.3,21.5
T183,Josh Hart,NYK,F,76,32.3,9.8,7.8,3.8,1.2,0.3,0.8,52.9,75.0,1.5,2.2,37.2,3.6,6.8,1.7,2.3,0.1,0.0,2.6,27.6
T183,Thomas Bryant,CLE,C,59,18.2,9.8,5.7,0.5,0.3,0.5,0.4,62.3,73.8,0.6,1.0,44.1,3.9,6.3,1.6,2.1,0.2,0.0,1.7,19.2
T183,Herbert Jones,NOP,F,66,29.6,9.8,4.1,2.5,1.6,0.6,0.8,46.9,76.4,1.3,2.5,33.5,3.6,7.6,1.9,2.4,0.0,0.0,3.2,23.7
T183,Al Horford,GSW,C,63,30.5,9.8,6.2,3.0,0.5,1.0,2.3,47.6,71.4,0.6,5.2,44.6,3.6,7.6,0.2,0.3,0.1,0.0,1.9,25.5
T187,Keita Bates-Diop,FA,F,67,21.7,9.7,3.7,1.5,0.7,0.3,0.8,50.8,79.3,0.8,2.1,39.4,3.5,6.9,1.8,2.2,0.0,0.0,0.9,18.5
T187,Coby White,CHI,G,74,23.4,9.7,2.9,2.8,0.7,0.1,1.7,44.3,87.1,1.0,4.6,37.2,3.6,8.0,0.8,0.9,0.0,0.0,1.6,18.7
T187,Cam Reddish,FA,F,40,24.7,9.7,2.2,1.4,1.0,0.4,1.1,44.6,85.3,1.2,3.6,31.3,3.5,7.8,1.6,1.9,0.0,0.0,1.8,17.3
T187,Julian Champagnie,SAS,F,17,18.6,9.7,3.5,0.6,0.4,0.3,1.9,45.4,82.4,0.6,4.8,40.2,3.5,7.6,0.8,1.0,0.1,0.0,1.5,16.1
191,Caleb Martin,DAL,F,71,29.3,9.6,4.8,1.6,1.0,0.4,1.2,46.4,80.5,1.1,3.3,35.6,3.6,7.7,1.3,1.6,0.0,0.0,2.0,21.1
T192,Isaiah Joe,OKC,G,73,19.1,9.5,2.4,1.2,0.7,0.1,2.2,44.1,82.0,0.5,5.4,40.9,3.1,7.0,1.1,1.4,0.0,0.0,1.4,15.9
T192,Andrew Nembhard,IND,G,75,27.7,9.5,2.7,4.5,0.9,0.2,1.2,44.1,79.0,1.7,3.5,35.0,3.8,8.6,0.7,0.8,0.1,0.0,2.4,21.1
T194,Kyle Anderson,UTA,F,69,28.3,9.4,5.3,4.9,1.1,0.9,0.6,50.9,73.5,1.5,1.5,41.0,3.7,7.2,1.4,2.0,0.1,0.0,2.1,27.7
T194,Donte DiVincenzo,MIN,G,72,26.3,9.4,4.5,3.5,1.3,0.1,2.1,43.5,81.7,1.6,5.3,39.7,3.3,7.5,0.8,1.0,0.1,0.0,1.8,23.0
T194,Jalen McDaniels,FA,F,80,23.9,9.4,4.3,1.6,1.0,0.4,1.0,45.5,84.1,1.2,2.9,33.2,3.5,7.7,1.5,1.7,0.0,0.0,2.6,20.3
T194,Gabe Vincent,LAL,G,68,25.8,9.4,2.1,2.5,0.9,0.1,1.7,40.2,87.2,1.4,5.1,33.4,3.4,8.3,1.0,1.1,0.0,0.0,2.3,17.3
T194,Chris Boucher,BOS,F,76,20.0,9.4,5.5,0.4,0.6,0.8,0.8,49.3,76.2,0.5,2.5,32.8,3.4,7.0,1.7,2.2,0.1,0.0,1.9,20.4
T194,Jalen Smith,CHI,C,68,18.8,9.4,5.8,1.0,0.3,0.9,0.8,47.6,75.9,1.1,2.8,28.3,3.6,7.5,1.5,2.0,0.1,0.0,2.3,20.4
T200,Luke Kennard,ATL,G,59,22.3,9.3,2.7,1.5,0.5,0.1,2.3,49.2,94.9,0.8,4.6,49.4,3.2,6.5,0.6,0.7,0.0,0.0,1.4,15.9
T200,Tari Eason,HOU,F,82,21.5,9.3,6.0,1.1,1.2,0.6,0.7,44.8,75.2,1.2,2.1,34.3,3.6,8.0,1.3,1.8,0.1,0.0,2.3,22.1
T200,Hamidou Diallo,FA,F,56,17.8,9.3,3.5,1.0,0.9,0.3,0.1,57.3,58.8,1.3,0.4,23.8,3.8,6.7,1.6,2.6,0.0,0.0,2.2,17.4
T203,Walker Kessler,UTA,C,74,23.0,9.2,8.4,0.9,0.4,2.3,0.0,72.0,51.6,0.8,0.0,33.3,4.0,5.6,1.1,2.1,0.3,0.0,2.3,27.9
T203,Seth Curry,GSW,G,61,19.9,9.2,1.6,1.6,0.6,0.1,1.5,46.3,92.7,0.8,3.8,40.5,3.4,7.4,0.8,0.9,0.0,0.0,1.6,14.9
T203,Precious Achiuwa,MIA,C,55,20.7,9.2,6.0,0.9,0.6,0.5,0.5,48.5,70.2,1.1,2.0,26.9,3.6,7.3,1.6,2.3,0.2,0.0,1.9,20.0
T203,Deni Avdija,POR,F,76,26.6,9.2,6.4,2.8,0.9,0.4,0.9,43.7,73.9,1.6,3.1,29.7,3.3,7.6,1.6,2.2,0.1,0.0,2.8,23.1
T207,Naji Marshall,DAL,F,77,23.2,9.1,3.6,2.5,0.7,0.2,0.9,43.3,78.9,1.3,2.8,30.3,3.2,7.4,1.8,2.3,0.0,0.0,1.5,18.5
T207,Jalen Duren,DET,C,67,24.9,9.1,8.9,1.1,0.7,0.9,0.0,64.8,61.1,1.4,0.0,0.0,3.9,5.9,1.4,2.3,0.3,0.0,2.7,24.7
T207,Taurean Prince,MIL,F,54,22.0,9.1,2.4,1.6,0.5,0.3,1.4,46.7,84.4,1.3,3.6,38.1,3.3,7.0,1.2,1.4,0.0,0.0,2.3,15.5
T207,Bol Bol,FA,F,70,21.6,9.1,5.8,1.0,0.4,1.2,0.4,54.6,75.9,1.6,1.6,26.5,3.7,6.8,1.2,1.5,0.1,0.0,1.3,20.8
T207,Josh Green,CHA,F,60,25.6,9.1,3.0,1.7,0.7,0.1,1.1,53.7,72.3,1.2,2.8,40.2,3.4,6.4,1.1,1.6,0.0,0.0,2.6,16.5
T207,Jae'Sean Tate,HOU,F,31,21.7,9.1,3.8,2.7,0.7,0.2,0.4,48.0,72.5,1.5,1.5,28.3,3.5,7.4,1.6,2.2,0.0,0.0,3.4,19.0
T213,Jose Alvarado,NOP,G,61,21.5,9.0,2.3,3.0,1.1,0.2,1.4,41.1,81.3,1.3,4.0,33.6,3.3,8.0,1.1,1.3,0.0,0.0,2.0,18.8
T213,Santi Aldama,MEM,F,77,21.9,9.0,4.8,1.3,0.6,0.6,1.2,47.0,75.0,0.8,3.5,35.3,3.2,6.8,1.4,1.9,0.1,0.0,1.9,19.6
T213,Daniel Gafford,DAL,C,78,20.6,9.0,5.6,1.1,0.4,1.3,0.0,73.2,67.9,1.1,0.0,0.0,3.7,5.1,1.6,2.4,0.1,0.0,2.4,21.3
T213,Mark Williams,PHO,C,43,19.3,9.0,7.1,0.4,0.7,1.0,0.0,63.7,69.1,0.9,0.0,0.0,3.7,5.8,1.6,2.3,0.3,0.0,2.2,22.3
217,AJ Griffin,FA,F,72,19.4,8.9,2.1,1.0,0.6,0.2,1.4,46.5,89.4,0.6,3.6,39.0,3.4,7.4,0.6,0.7,0.0,0.0,1.2,14.6
T218,Dennis Smith,DAL,G,54,25.7,8.8,3.1,4.8,1.4,0.5,0.4,41.2,73.6,1.5,2.1,21.6,3.4,8.4,1.4,2.0,0.0,0.0,2.3,23.8
T218,Jaden Hardy,DAL,G,48,14.7,8.8,1.9,1.4,0.4,0.1,1.3,43.8,82.3,1.0,3.3,40.4,3.0,6.9,1.4,1.6,0.0,0.0,1.3,13.5
T218,Shaquille Harrison,FA,G,5,23.8,8.8,4.4,6.0,2.2,0.4,0.6,41.7,73.3,1.2,2.0,30.0,3.0,7.2,2.2,3.0,0.2,0.0,2.4,29.7
T218,Royce O'Neale,PHO,F,76,31.7,8.8,5.1,3.7,0.9,0.6,2.1,38.6,72.5,1.5,5.5,38.9,3.0,7.8,0.7,0.9,0.1,0.0,3.1,23.5
T218,Terance Mann,BKN,G,81,23.1,8.8,3.4,2.3,0.5,0.3,1.0,51.9,78.0,1.0,2.4,38.9,3.4,6.5,1.1,1.5,0.0,0.0,1.8,17.7
T223,Jordan Nwora,FA,F,62,19.1,8.7,3.7,1.4,0.4,0.2,1.4,43.6,79.1,1.1,3.4,40.8,3.1,7.2,1.1,1.4,0.0,0.0,1.2,16.1
T223,Cedi Osman,FA,F,77,20.1,8.7,2.3,1.5,0.5,0.1,1.5,45.1,69.4,0.7,4.1,37.2,3.1,6.9,1.0,1.4,0.0,0.0,1.6,14.8
T223,Landry Shamet,NYK,G,40,20.2,8.7,1.7,2.3,0.7,0.1,1.9,37.7,88.2,0.9,5.0,37.7,2.8,7.5,1.1,1.3,0.0,0.0,1.5,15.6
T223,T.J. McConnell,IND,G,75,20.4,8.7,3.1,5.3,1.1,0.1,0.3,54.3,85.3,1.9,0.8,44.1,3.8,6.9,0.8,0.9,0.1,0.0,1.4,22.1
T227,Steven Adams,HOU,C,42,27.0,8.6,11.5,2.3,0.9,1.1,0.0,59.7,36.4,1.9,0.0,0.0,3.7,6.3,1.1,3.1,0.4,0.0,2.3,29.9
T227,Ayo Dosunmu,CHI,G,80,26.2,8.6,2.8,2.6,0.8,0.3,0.7,49.3,80.5,1.2,2.4,31.2,3.5,7.1,0.8,1.0,0.0,0.0,2.3,17.8
229,Draymond Green,GSW,C,73,31.5,8.5,7.2,6.8,1.0,0.8,0.5,52.7,71.3,2.8,1.8,30.5,3.4,6.5,1.1,1.5,0.2,0.0,3.1,30.1
230,Shake Milton,FA,G,76,20.6,8.4,2.5,3.2,0.3,0.2,0.7,47.9,85.3,1.2,1.9,37.8,3.2,6.6,1.3,1.5,0.0,0.0,1.6,16.4
T231,Terrence Ross,FA,F,63,21.1,8.3,2.4,1.5,0.6,0.2,1.5,43.0,79.4,0.7,4.1,36.8,3.2,7.4,0.4,0.5,0.0,0.0,1.5,14.9
T231,Gary Harris,MIL,G,48,24.7,8.3,2.0,1.2,0.9,0.3,2.0,45.0,90.0,0.6,4.5,43.1,2.9,6.4,0.6,0.6,0.0,0.0,1.9,15.5
T231,Dorian Finney-Smith,HOU,F,66,30.4,8.3,4.8,1.5,0.8,0.5,1.7,39.1,76.3,0.9,5.1,33.7,3.0,7.6,0.7,0.9,0.0,0.0,2.2,19.6
T234,Nick Richards,PHO,C,65,18.7,8.2,6.4,0.6,0.2,1.1,0.0,62.9,74.9,0.9,0.0,100.0,3.0,4.8,2.1,2.8,0.2,0.0,2.4,19.6
T234,Georges Niang,UTA,F,78,19.4,8.2,2.4,1.0,0.4,0.2,2.0,44.2,86.7,0.7,4.9,40.1,2.8,6.4,0.5,0.6,0.0,0.0,1.9,13.5
T234,Kevin Love,UTA,C,62,20.0,8.2,6.4,1.9,0.3,0.2,1.6,38.9,87.9,1.1,4.8,33.4,2.7,6.8,1.3,1.5,0.1,0.0,1.6,19.0
T234,Damion Lee,FA,G,74,20.4,8.2,3.0,1.3,0.4,0.1,1.5,44.2,90.4,1.1,3.3,44.5,2.7,6.1,1.3,1.4,0.0,0.0,1.6,14.3
T238,Grant Williams,CHA,F,79,25.9,8.1,4.6,1.7,0.5,0.4,1.5,45.4,77.0,1.0,3.7,39.5,2.7,6.0,1.2,1.5,0.0,0.0,2.4,17.8
T238,Aleksej Pokusevski,FA,F,34,20.6,8.1,4.7,1.9,0.6,1.3,1.1,43.4,62.9,1.3,3.1,36.5,3.2,7.3,0.6,1.0,0.1,0.0,1.7,20.8
T240,Kemba Walker,FA,G,9,15.9,8.0,1.8,2.1,0.2,0.2,0.8,42.1,81.0,0.4,3.1,25.0,2.7,6.3,1.9,2.3,0.0,0.0,1.2,14.2
T240,Jevon Carter,CHI,G,81,22.3,8.0,2.5,2.4,0.8,0.4,1.8,42.3,81.6,1.0,4.2,42.1,3.0,7.0,0.4,0.5,0.0,0.0,2.0,17.2
T240,Gabe York,FA,G,3,18.3,8.0,2.0,1.7,0.7,0.0,2.0,38.1,100.0,0.0,6.0,33.3,2.7,7.0,0.7,0.7,0.0,0.0,1.7,14.9
T240,Kenrich Williams,OKC,F,53,22.7,8.0,4.9,2.0,0.8,0.3,0.9,51.7,43.6,0.6,2.5,37.3,3.4,6.5,0.3,0.7,0.0,0.0,2.1,19.6
T240,Robert Williams,POR,C,35,23.5,8.0,8.3,1.4,0.6,1.4,0.0,74.7,61.0,1.0,0.0,0.0,3.6,4.9,0.7,1.2,0.2,0.0,1.9,25.2
T245,Jarred Vanderbilt,LAL,F,78,24.1,7.9,7.5,2.4,1.1,0.3,0.4,54.8,69.1,1.2,1.2,32.2,3.2,5.8,1.2,1.8,0.1,0.0,2.4,23.2
T245,Chris Duarte,FA,F,46,19.5,7.9,2.5,1.4,0.5,0.2,1.2,36.9,84.7,0.9,3.8,31.6,2.7,7.2,1.3,1.6,0.0,0.0,1.4,14.3
T245,Ochai Agbaji,TOR,F,59,20.5,7.9,2.1,1.1,0.3,0.3,1.4,42.7,81.2,0.7,3.9,35.5,2.8,6.5,0.9,1.2,0.0,0.0,1.7,13.0
T245,Duane Washington,FA,G,31,12.6,7.9,1.2,2.0,0.2,0.1,1.3,36.7,66.7,1.1,3.6,36.0,3.0,8.3,0.5,0.8,0.0,0.0,0.7,12.2
249,Jeff Green,HOU,F,56,19.5,7.8,2.6,1.2,0.3,0.3,0.5,48.8,74.4,0.8,1.9,28.8,2.9,5.9,1.6,2.1,0.0,0.0,1.8,13.8
250,Tre Mann,CHA,G,67,17.7,7.7,2.3,1.8,0.6,0.2,1.2,39.3,76.4,0.9,3.8,31.5,2.9,7.5,0.6,0.8,0.0,0.0,1.5,14.5
T251,Trey Lyles,FA,F,74,16.9,7.6,4.1,0.9,0.4,0.4,1.2,45.8,81.5,0.9,3.2,36.3,2.5,5.5,1.4,1.7,0.0,0.0,1.3,15.3
T251,Joe Harris,FA,F,74,20.6,7.6,2.2,1.4,0.5,0.2,1.9,45.7,64.3,0.6,4.5,42.6,2.7,5.9,0.2,0.4,0.0,0.0,1.9,13.7
T251,Pat Connaughton,CHA,F,61,23.6,7.6,4.6,1.3,0.6,0.2,1.8,39.2,65.9,0.5,5.3,33.9,2.7,6.9,0.4,0.7,0.0,0.0,1.1,16.9
254,T.J. Warren,FA,F,42,16.3,7.5,2.9,1.0,0.5,0.3,0.5,48.9,80.0,0.5,1.6,32.8,3.1,6.4,0.7,0.8,0.0,0.0,1.5,14.3
T255,Devonte' Graham,FA,G,73,18.3,7.4,1.7,2.7,0.6,0.2,1.6,37.4,74.8,0.7,4.6,35.2,2.2,5.9,1.3,1.8,0.0,0.0,1.1,15.2
T255,Torrey Craig,FA,F,79,24.7,7.4,5.4,1.5,0.6,0.8,1.3,45.6,71.1,0.9,3.2,39.5,2.9,6.3,0.4,0.6,0.1,0.0,2.3,19.5
T255,Trendon Watford,PHI,F,62,19.1,7.4,3.8,2.1,0.5,0.2,0.4,56.0,72.0,1.1,1.0,39.1,2.9,5.2,1.2,1.6,0.0,0.0,1.9,16.1
T255,Obi Toppin,IND,F,67,15.7,7.4,2.8,1.0,0.3,0.2,1.3,44.6,80.9,0.6,3.7,34.4,2.8,6.3,0.6,0.7,0.0,0.0,1.0,13.2
T255,Delon Wright,IND,G,50,24.4,7.4,3.6,3.9,1.8,0.3,0.8,47.4,86.7,0.9,2.4,34.5,2.8,5.8,1.0,1.2,0.0,0.0,1.2,23.2
T255,Mitchell Robinson,NYK,C,59,27.0,7.4,9.4,0.9,0.9,1.8,0.0,67.1,48.4,0.7,0.0,0.0,3.2,4.7,1.0,2.1,0.2,0.0,2.7,27.7
T261,Josh Okogie,HOU,F,72,18.7,7.3,3.5,1.5,0.8,0.5,0.9,39.1,72.4,0.9,2.7,33.5,2.3,5.8,1.9,2.7,0.0,0.0,1.6,16.6
T261,Jay Huff,IND,C,7,13.6,7.3,3.0,1.4,0.4,0.6,0.9,60.0,93.8,0.7,1.7,50.0,2.1,3.6,2.1,2.3,0.0,0.0,2.1,15.3
T263,Reggie Bullock,FA,F,78,30.3,7.2,3.6,1.4,0.7,0.2,1.9,40.9,70.3,0.5,5.1,38.0,2.5,6.0,0.3,0.5,0.0,0.0,2.1,15.7
T263,Isaiah Jackson,IND,C,63,16.6,7.2,4.5,0.8,0.5,1.5,0.0,56.3,65.1,0.8,0.2,14.3,2.8,5.0,1.5,2.3,0.1,0.0,2.4,18.9
T265,Lindell Wigginton,FA,G,7,12.3,7.1,1.0,2.0,0.0,0.3,0.9,48.6,88.9,1.7,2.6,33.3,2.6,5.3,1.1,1.3,0.1,0.0,1.0,10.5
T265,Edmond Sumner,FA,G,53,13.9,7.1,1.5,1.3,0.6,0.2,0.6,46.1,91.7,0.9,1.6,35.6,2.3,5.1,1.9,2.0,0.0,0.0,1.6,12.2
T265,Willy Hernangomez,FA,C,37,12.4,7.1,4.9,0.9,0.5,0.4,0.1,52.7,77.9,1.1,0.3,27.3,2.4,4.6,2.2,2.8,0.1,0.0,1.7,15.6
T265,Kendrick Nunn,FA,G,70,13.7,7.1,1.6,1.3,0.4,0.1,1.1,42.4,85.4,0.9,3.2,35.4,2.7,6.4,0.5,0.6,0.0,0.0,0.9,11.4
T265,Troy Brown,FA,F,76,24.5,7.1,4.1,1.3,0.8,0.2,1.4,43.0,87.2,0.6,3.7,38.1,2.6,6.1,0.4,0.5,0.0,0.0,1.6,16.2
T270,Kevon Looney,NOP,C,82,23.9,7.0,9.3,2.5,0.6,0.6,0.0,63.0,60.6,0.5,0.0,0.0,3.0,4.7,1.1,1.9,0.2,0.0,2.7,25.1
T270,Xavier Tillman,BOS,F,61,19.3,7.0,5.0,1.6,1.0,0.5,0.1,61.4,55.1,0.7,0.2,26.7,3.1,5.0,0.8,1.5,0.1,0.0,1.6,19.0
T270,Eugene Omoruyi,FA,F,40,16.2,7.0,2.8,0.7,0.7,0.1,0.6,44.3,68.0,0.9,2.2,28.1,2.5,5.7,1.3,1.9,0.0,0.0,2.3,12.8
T270,Chance Comanche,FA,C,1,21.0,7.0,3.0,0.0,0.0,1.0,0.0,60.0,25.0,0.0,0.0,0.0,3.0,5.0,1.0,4.0,0.0,0.0,0.0,13.6
T270,Daniel Theis,FA,C,7,15.4,7.0,3.1,1.3,0.3,0.9,0.3,47.7,41.7,0.4,1.6,18.2,3.0,6.3,0.7,1.7,0.0,0.0,1.0,15.7
T270,Joshua Primo,FA,G,4,23.5,7.0,3.3,4.5,0.3,0.5,0.8,34.6,77.8,2.8,3.0,25.0,2.3,6.5,1.8,2.3,0.0,0.0,2.0,17.2
T276,Svi Mykhailiuk,UTA,G,32,14.7,6.9,1.7,1.7,0.5,0.1,1.3,44.5,66.7,0.8,3.1,42.4,2.4,5.4,0.8,1.2,0.0,0.0,0.7,12.4
T276,Joe Ingles,MIN,F,46,22.6,6.9,2.8,3.3,0.7,0.1,1.8,43.5,85.7,1.2,4.4,40.9,2.3,5.4,0.4,0.5,0.0,0.0,1.6,16.5
T276,Ben Simmons,FA,F,42,26.2,6.9,6.3,6.1,1.3,0.6,0.0,56.6,43.9,2.3,0.0,0.0,3.2,5.6,0.6,1.4,0.1,0.0,3.3,26.8
T276,Cory Joseph,FA,G,62,19.8,6.9,1.7,3.5,0.5,0.1,1.1,42.7,79.2,0.9,2.9,38.9,2.4,5.7,0.9,1.2,0.0,0.0,1.4,15.4
