,,,,,,,,,,,,,,,
Rank,Name,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Status,Injury
82,Immanuel Quickley,TOR,G,70,33.5,15.8,3.5,5.4,0.8,0.1,2.3,44.1,86.0,,
83,Tari Eason,HOU,F,65,27.0,13.3,6.8,1.6,1.9,1.1,1.3,48.0,74.3,,
84,Jalen Suggs,ORL,G,64,29.0,14.0,3.8,3.5,1.4,0.8,2.0,43.2,83.2,,Knee
85,Jaden Ivey,DET,G,68,30.0,17.9,4.2,4.2,1.0,0.5,2.2,44.5,74.8,,
86,D'Angelo Russell,DAL,G,71,28.0,14.5,2.7,5.7,0.8,0.3,2.4,42.2,83.0,,
87,RJ Barrett,TOR,F,69,33.0,20.2,5.5,4.6,0.7,0.3,1.8,47.5,69.9,,
88,Cason Wallace,OKC,G,75,29.0,10.4,3.8,2.9,2.0,0.7,1.5,48.4,83.1,,Rest
89,Josh Hart,NY,F,73,33.5,11.4,8.4,4.7,1.2,0.2,1.0,49.4,78.4,,
90,Scoot Henderson,POR,G,59,29.0,14.6,3.2,5.5,1.3,0.4,1.9,42.8,78.8,,Hamstring
91,Stephon Castle,SAN,G,76,29.0,13.3,4.6,4.6,1.1,0.6,1.5,42.4,78.7,,Undisclosed
92,DeMar DeRozan,SAC,F,73,34.0,20.3,3.7,4.1,0.8,0.3,1.0,47.5,86.3,,
93,Keyonte George,UTA,G,70,28.0,16.1,3.4,5.0,0.7,0.1,2.5,40.9,83.2,,
94,Ivica Zubac,LAC,C,77,31.5,15.0,12.5,2.6,0.6,1.4,0.0,62.5,72.0,,
95,Andrew Wiggins,MIA,F,71,30.0,16.8,4.2,2.4,1.0,0.7,2.2,45.5,74.2,,
96,Bilal Coulibaly,WAS,F,65,33.0,13.4,5.3,3.6,1.3,0.9,1.3,43.3,71.7,,Thumb
97,Bobby Portis,MIL,F,70,27.5,16.4,8.5,2.3,0.8,0.5,1.7,47.8,79.3,,
98,Donte DiVincenzo,MIN,G,69,27.0,12.3,3.8,3.8,1.2,0.3,2.9,42.5,78.0,,
99,Kyle Kuzma,MIL,F,68,33.0,17.8,6.3,3.3,0.6,0.6,2.0,44.0,73.2,,
100,Sam Hauser,BOS,F,75,29.0,13.1,4.6,2.0,0.8,0.4,3.4,45.5,85.4,,
101,Cameron Johnson,DEN,F,63,30.0,16.3,4.2,2.4,1.0,0.3,2.8,48.3,86.1,,
102,John Collins,LAC,F,66,29.0,15.2,7.5,1.5,0.7,1.0,1.3,52.9,81.2,,
