"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"Bennedict Mathurin","IND","SG,SF","17.1","5.2","2.1","0.3","0.7",".448",".830","1.4","76","30.7","2.0"
"Jaden Ivey","DET","PG,SG","17.0","4.0","4.4","0.4","0.9",".441",".746","1.9","70","30.5","2.9"
"Deni Avdija","POR","SF,PF DTD","16.9","7.9","4.0","0.5","1.0",".461",".767","1.8","76","32.8","2.8"
"Andrew Wiggins","MIA","PF,SF,SG","16.9","4.8","2.5","0.8","1.0",".450",".744","1.9","76","31.5","1.5"
"Jerami Grant","POR","SF,PF DTD","16.8","3.6","2.3","0.8","0.8",".419",".829","2.3","72","31.8","1.6"
"Chet Holmgren","OKC","PF,C","16.7","8.7","2.2","2.1","0.8",".500",".771","1.5","73","30.2","1.8"
"De'Andre Hunter","CLE","SF,PF","16.7","4.2","1.5","0.2","0.7",".469",".843","2.3","75","29.5","1.4"
"OG Anunoby","NYK","SF,PF","16.7","4.6","2.0","0.8","1.5",".484",".809","2.2","74","36.1","1.5"
"Devin Vassell","SAS","SG,SF","16.6","3.7","3.1","0.4","1.2",".455",".792","2.3","73","31.5","1.3"
"Cameron Johnson","DEN","SF,PF OUT","16.6","4.4","2.8","0.4","1.0",".485",".867","2.5","72","29.8","1.3"
"Derrick White","BOS","PG,SG","16.6","5.1","5.3","1.5","1.1",".444",".868","3.2","75","33.0","1.7"
"Jalen Johnson","ATL","PF,SF DTD","16.6","9.1","4.2","0.9","1.4",".501",".723","1.3","72","32.9","2.3"
"Cam Whitmore","WAS","SF,PF","16.5","5.2","1.5","0.5","1.0",".438",".725","2.4","73","28.7","1.6"
"Immanuel Quickley","TOR","PG,SG","16.5","4.0","5.2","0.2","0.9",".430",".848","2.3","73","30.5","1.7"
"Kyle Kuzma","MIL","SF,PF","16.4","5.8","2.9","0.4","0.5",".458",".698","1.6","74","29.8","2.2"
"Jared McCain","PHI","PG,SG OUT","16.2","2.5","2.8","0.0","0.7",".475",".878","2.4","74","27.9","1.6"
"Myles Turner","MIL","C","16.2","6.9","1.4","1.9","0.6",".503",".777","1.8","76","30.6","1.7"
"Kevin Porter Jr.","MIL","PG,SG","16.1","5.3","5.5","0.3","1.5",".455",".775","1.4","76","31.2","2.7"
"John Collins","LAC","PF,C","16.1","7.4","1.5","0.9","0.8",".538",".821","1.3","72","30.0","1.8"
"Josh Giddey","CHI","PG,SG,SF DTD","16.0","8.0","7.3","0.6","1.0",".470",".781","1.4","76","32.0","3.1"
"Bradley Beal","LAC","SF,SG","15.7","3.2","3.5","0.4","1.0",".510",".814","1.6","71","29.0","1.8"
"Ivica Zubac","LAC","C DTD","15.6","11.5","2.2","1.2","0.6",".650",".679","0.0","79","32.3","1.6"
"Klay Thompson","DAL","SG,SF","15.6","3.4","2.1","0.4","0.7",".425",".904","3.0","75","29.5","1.3"
"Deandre Ayton","LAL","C","15.5","9.8","1.6","0.9","0.7",".600",".724","0.1","73","31.0","1.7"
"Stephon Castle","SAS","PG,SG","15.4","3.6","4.2","0.3","1.0",".429",".722","1.1","77","29.0","2.2"
"Alex Sarr","WAS","C","15.4","7.3","3.0","1.7","0.8",".397",".680","1.9","75","31.0","2.0"
"Malik Monk","SAC","PG,SF,SG","15.3","3.3","4.7","0.5","0.8",".441",".860","1.9","74","27.9","2.2"
