,Player,Team,Pos,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,3PA,3P%,FGM,FGA,FTM,FTA,2DBL,3DBL,PF,FPTS
T354,Moses Brown,DEN,C,13,9.2,5.8,3.4,0.2,0.5,0.3,0.0,69.4,72.7,0.8,0.0,0.0,2.6,3.8,0.6,0.8,0.1,0.0,1.3,11.6
T354,Adem Bona,PHI,C,58,15.7,5.8,4.2,0.5,0.4,1.2,0.0,70.3,67.0,1.1,0.0,0.0,2.3,3.3,1.2,1.7,0.1,0.0,2.2,15.4
T358,Moussa Diabate,CHA,C,71,17.5,5.7,6.2,0.8,0.6,0.6,0.0,59.6,59.5,0.9,0.1,0.0,2.4,3.9,1.0,1.6,0.1,0.0,1.5,17.0
T358,Dariq Whitehead,BKN,F,20,12.3,5.7,1.5,0.6,0.3,0.1,1.7,40.6,60.0,0.8,3.7,44.6,2.0,4.8,0.2,0.3,0.0,0.0,1.1,8.6
T358,Landry Shamet,NYK,G,50,15.2,5.7,1.2,0.5,0.5,0.0,1.2,46.1,66.7,0.4,3.1,39.7,2.1,4.6,0.2,0.4,0.0,0.0,1.0,9.1
361,Jordan Goodwin,PHO,G,29,18.7,5.6,3.9,1.4,1.0,0.4,0.9,43.8,81.8,0.9,2.3,38.2,2.2,5.0,0.3,0.4,0.0,0.0,1.5,15.7
T362,Shake Milton,FA,G,57,14.6,5.5,1.8,1.8,0.4,0.1,0.7,45.3,79.7,0.7,1.9,35.8,2.0,4.5,0.8,1.0,0.0,0.0,1.2,11.2
T362,Aaron Holiday,HOU,G,62,12.8,5.5,1.3,1.3,0.3,0.2,1.2,43.7,82.9,0.6,2.9,39.8,1.9,4.3,0.5,0.7,0.0,0.0,1.0,9.9
T364,Dean Wade,CLE,F,59,21.3,5.4,4.2,1.3,0.7,0.3,1.4,41.3,53.3,0.4,3.8,36.0,1.9,4.6,0.3,0.5,0.0,0.0,1.7,15.2
T364,Jonathan Isaac,ORL,F,71,15.4,5.4,4.4,0.6,0.9,1.1,0.5,41.4,68.2,0.5,2.1,25.8,1.9,4.6,1.0,1.5,0.0,0.0,1.3,17.0
T364,Jeff Green,HOU,F,32,12.3,5.4,1.8,0.6,0.2,0.1,0.9,50.4,80.8,0.3,2.5,36.7,1.9,3.8,0.7,0.8,0.0,0.0,1.0,9.1
T364,Keaton Wallace,ATL,G,31,16.2,5.4,1.6,2.6,0.9,0.3,0.9,40.1,100.0,1.1,2.6,32.9,2.1,5.2,0.4,0.4,0.0,0.0,1.3,13.8
