ADP,Player,Team,Position(s),ADP.1,Min Pick,Max Pick
64,Kristaps Porzingis,ATL,"F, C",64.86,57,72
65,Julius Randle,MIN,"F, C",66.43,60,74
66,Rudy Gobert,MIN,C,67.57,55,80
67,Donovan Clingan,POR,C,67.86,62,78
68,Darius Garland,CLE,G,70.14,55,81
69,Alex Sarr,WAS,"F, C",70.14,63,78
70,Isaiah Hartenstein,OKC,"F, C",70.14,59,79
71,Jordan Poole,NO,G,71.29,60,80
72,Jimmy Butler,GS,F,72.14,65,79
73,Jalen Green,PHO,G,73.29,66,84
74,Ausar Thompson,DET,F,73.29,68,79
75,Andrew Nembhard,IND,G,74.43,62,83
76,Mikal Bridges,NY,F,75.43,60,87
77,Lauri Markkanen,UTH,F,76.14,64,89
78,Immanuel Quickley,TOR,G,77.0,70,86
79,Michael Porter,BKN,F,80.0,65,98
80,Naz Reid,MIN,"F, C",80.43,72,88
81,Miles Bridges,CHA,F,81.57,72,92
82,DeMar DeRozan,SAC,F,81.86,61,92
83,Josh Hart,NY,G,83.29,62,94
84,Cameron Johnson,DEN,F,83.43,74,96
85,Shaedon Sharpe,POR,G,85.71,81,91
86,Kel'el Ware,MIA,C,87.14,77,97
87,Kevin Porter,MIL,G,87.86,82,96
88,Tyler Herro,MIA,G,88.0,51,115
89,Toumani Camara,POR,F,88.14,77,97
90,Brandon Ingram,TOR,F,88.43,82,94
91,Christian Braun,DEN,G,89.29,82,98
92,Anfernee Simons,BOS,G,91.29,77,99
93,John Collins,LAC,F,91.43,82,108
94,Keegan Murray,SAC,F,92.71,77,103
95,Tari Eason,HOU,F,95.29,86,107
96,Norman Powell,MIA,G,96.86,86,104
97,Jaden McDaniels,MIN,F,98.14,88,106
98,Reed Sheppard,HOU,G,100.57,89,112
99,Bennedict Mathurin,IND,F,101.0,95,104
100,Cam Thomas,BKN,G,101.43,84,131
101,Bobby Portis,MIL,"F, C",104.43,99,119
102,Andrew Wiggins,MIA,F,104.57,94,119
103,Dereck Lively,DAL,C,105.57,80,120
104,Jrue Holiday,POR,G,105.71,95,115
105,Tobias Harris,DET,F,108.43,87,129
106,Nic Claxton,BKN,C,109.0,86,136
107,Stephon Castle,SA,G,109.57,104,126
108,Jalen Suggs,ORL,G,110.0,95,133
109,Aaron Nesmith,IND,F,111.86,102,126
110,Neemias Queta,BOS,C,112.57,102,127
111,Brandin Podziemski,GS,G,113.0,102,125
112,Devin Vassell,SA,G,113.71,99,122
113,Santi Aldama,MEM,F,114.57,112,120
114,CJ McCollum,WAS,G,114.57,99,144
115,Donte DiVincenzo,MIN,G,114.86,106,123
116,Jaden Ivey,DET,G,116.43,103,127
117,D'Angelo Russell,DAL,G,116.57,96,140
118,Bradley Beal,LAC,G,117.29,106,132
119,Paul George,PHI,F,117.43,97,142
120,Herbert Jones,NO,F,118.43,106,132
121,Daniel Gafford,DAL,"F, C",119.29,108,139
122,Zach Edey,MEM,C,120.57,111,137
123,Aaron Gordon,DEN,F,124.14,110,143
124,Jay Huff,IND,C,124.14,109,137
125,Keyonte George,UTH,G,125.14,108,136
126,De'Andre Hunter,CLE,F,127.86,122,138
127,Draymond Green,GS,F,128.43,120,138
128,Adem Bona,PHI,"F, C",128.86,113,158
129,P.J. Washington,DAL,"F, C",129.43,110,149
130,Mitchell Robinson,NY,C,129.86,109,149
131,RJ Barrett,TOR,F,130.14,112,150
132,T.J. McConnell,IND,G,130.14,107,143
133,Kyle Filipowski,UTH,C,131.57,119,143
134,Isaiah Jackson,IND,C,132.29,118,143
135,Malik Monk,SAC,G,133.43,109,156
136,Nikola Jovic,MIA,F,136.29,105,155
137,Zaccharie Risacher,ATL,F,136.43,123,153
138,VJ Edgecombe,PHI,G,136.71,127,152
139,Jabari Smith,HOU,F,136.86,130,147
140,Cam Whitmore,WAS,F,141.43,131,153
141,Bub Carrington,WAS,G,142.71,120,162
142,Scotty Pippen,MEM,G,143.43,133,163
143,Cason Wallace,OKC,G,144.29,124,161
144,Ty Jerome,MEM,G,145.57,136,160
145,Wendell Carter,ORL,"F, C",145.57,134,155
146,Kyshawn George,WAS,G,146.57,130,160
147,Davion Mitchell,MIA,G,147.29,136,166
148,Yves Missi,NO,C,147.71,128,164
149,Kelly Oubre,PHI,F,149.71,132,164
150,Isaiah Collier,UTH,G,150.57,141,168
151,Collin Sexton,CHA,G,150.86,132,171
152,Dennis Schroder,SAC,G,151.71,143,166
153,Quentin Grimes,PHI,G,152.57,146,159
154,Jonathan Kuminga,GS,F,154.86,141,167
155,Sam Hauser,BOS,F,156.43,138,175
156,Obi Toppin,IND,F,157.29,141,176
157,Kon Knueppel,CHA,G,157.43,148,163
158,Klay Thompson,DAL,F,159.57,135,190
159,Jaylen Wells,MEM,G,160.14,148,171
160,Bilal Coulibaly,WAS,F,162.29,145,178
161,Ace Bailey,UTH,G,165.57,135,192
162,Ayo Dosunmu,CHI,G,166.43,148,184
163,Dylan Harper,SA,G,166.86,153,179
164,Grayson Allen,PHO,G,167.71,150,183
165,Brook Lopez,LAC,C,168.0,156,185
166,Brice Sensabaugh,UTH,F,170.14,146,180
167,Ryan Kalkbrenner,CHA,C,170.71,158,181
168,Al Horford,GS,C,173.0,156,195
169,Buddy Hield,GS,G,177.29,165,192
170,Aaron Wiggins,OKC,G,178.0,162,196
171,Isaiah Stewart,DET,"F, C",179.29,134,187
172,Scoot Henderson,POR,G,182.29,146,172
173,Tre Johnson,WAS,G,183.14,169,192
174,Khris Middleton,WAS,F,183.86,170,204
175,Jerami Grant,POR,F,184.29,177,192
176,Moussa Diabate,CHA,C,187.14,150,178
177,Kyle Kuzma,MIL,F,189.43,145,189
178,Egor Demin,BKN,F,189.43,157,183
179,Ryan Dunn,PHO,F,189.86,167,176
180,Keon Ellis,SAC,G,189.86,154,190
181,Taylor Hendricks,UTH,F,190.29,156,188
182,Gary Trent,MIL,G,197.0,162,187
183,Chris Boucher,BOS,"F, C",202.14,156,181
184,Day'Ron Sharpe,BKN,"F, C",206.71,158,191
185,Lonzo Ball,CLE,G,211.29,154,188
186,Dillon Brooks,PHO,F,215.14,168,192
