,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
75,Anfernee Simons,POR,70,2290,1348,189,337,60,5,215,42.6,90.2,-0.08,0.61,-1.12,0.51,-0.42,-1.19,1.33,-1.34,0.97
76,Trey Murphy,NOP,53,1855,1124,268,188,56,39,158,45.4,88.7,-0.10,0.05,-0.67,-0.50,-0.57,-0.14,0.53,-0.46,1.00
77,Walker Kessler,UTA,58,1743,641,707,97,36,138,6,66.3,52.0,-0.10,-1.16,1.81,-1.12,-1.34,2.92,-1.60,1.71,-2.00
78,Jaylen Brown,BOS,63,2159,1398,368,286,73,19,116,46.3,76.4,-0.10,0.74,-0.11,0.17,0.08,-0.76,-0.06,-0.43,-0.44
79,Cameron Johnson,BKN,57,1800,1070,247,194,53,24,159,47.5,89.3,-0.14,-0.09,-0.79,-0.46,-0.68,-0.60,0.54,-0.06,1.05
80,Jimmy Butler,GSW/MIA,55,1747,964,296,298,77,18,32,50.4,84.2,-0.14,-0.35,-0.52,0.25,0.24,-0.79,-1.24,0.35,0.93
81,Jonas Valanciunas,SAC/WAS,81,1522,843,627,164,37,46,8,55.0,87.9,-0.14,-0.66,1.36,-0.67,-1.30,0.08,-1.57,0.98,0.64
82,Quentin Grimes,DAL/PHI,75,2014,1092,324,228,74,22,162,46.7,75.7,-0.15,-0.03,-0.36,-0.23,0.12,-0.66,0.59,-0.23,-0.39
83,Scotty Pippen,MEM,79,1681,779,259,347,103,30,87,48.0,71.3,-0.16,-0.82,-0.72,0.58,1.24,-0.42,-0.47,0.03,-0.68
84,Tyus Jones,PHX,81,2171,829,196,429,69,8,166,44.8,89.5,-0.17,-0.69,-1.08,1.14,-0.07,-1.09,0.64,-0.45,0.21
85,Devin Vassell,SAS,64,1984,1041,255,183,84,33,158,44.3,79.2,-0.19,-0.16,-0.75,-0.54,0.51,-0.32,0.53,-0.71,-0.05
86,Norman Powell,LAC,60,1959,1306,190,125,73,9,179,48.4,80.4,-0.19,0.50,-1.11,-0.93,0.08,-1.06,0.82,0.07,0.13
87,Malik Beasley,DET,82,2283,1336,214,139,73,5,319,43.0,67.9,-0.19,0.58,-0.98,-0.84,0.08,-1.19,2.79,-1.17,-0.80
88,Fred VanVleet,HOU,60,2113,844,221,333,94,25,159,37.8,81.0,-0.23,-0.65,-0.94,0.49,0.89,-0.57,0.54,-1.65,0.07
89,Shaedon Sharpe,POR,72,2248,1335,324,198,62,16,147,45.2,78.5,-0.23,0.58,-0.36,-0.43,-0.34,-0.85,0.38,-0.69,-0.11
90,Isaiah Hartenstein,OKC,57,1589,637,611,219,47,62,0,58.1,67.5,-0.23,-1.17,1.27,-0.29,-0.92,0.57,-1.69,1.10,-0.70
91,Cason Wallace,OKC,68,1875,568,229,173,120,35,74,47.4,81.1,-0.24,-1.35,-0.89,-0.60,1.89,-0.26,-0.65,-0.01,-0.04
92,LaMelo Ball,CHA,47,1505,1184,232,346,54,13,179,40.5,84.3,-0.25,0.20,-0.88,0.57,-0.65,-0.94,0.82,-1.64,0.52
93,Ja Morant,MEM,50,1514,1159,205,364,61,12,88,45.4,82.4,-0.25,0.14,-1.03,0.70,-0.38,-0.97,-0.45,-0.49,0.48
94,Ty Jerome,CLE,70,1391,878,173,237,78,3,111,51.6,87.2,-0.25,-0.57,-1.21,-0.17,0.28,-1.25,-0.13,0.52,0.51
95,Tari Eason,HOU,57,1418,686,362,83,97,50,63,48.7,76.0,-0.26,-1.05,-0.14,-1.22,1.01,0.20,-0.80,0.12,-0.21
96,Kris Dunn,LAC,74,1783,474,251,210,128,27,75,43.9,68.2,-0.27,-1.58,-0.77,-0.35,2.20,-0.51,-0.63,-0.33,-0.19
97,Nic Claxton,BKN,70,1882,724,515,157,62,100,5,56.3,51.3,-0.27,-0.95,0.72,-0.71,-0.34,1.74,-1.62,1.06,-2.08
98,Dennis Schroder,BKN/DET/GSW,75,2108,980,198,404,66,12,127,40.6,83.8,-0.29,-0.31,-1.07,0.97,-0.18,-0.97,0.09,-1.31,0.44
99,Bennedict Mathurin,IND,72,2150,1156,383,136,47,24,98,45.8,83.1,-0.30,0.13,-0.02,-0.86,-0.92,-0.60,-0.31,-0.39,0.61
100,Luguentz Dort,OKC,71,2077,719,293,115,79,39,170,43.5,71.7,-0.30,-0.97,-0.53,-1.00,0.32,-0.14,0.70,-0.54,-0.23
101,Royce O'Neale,PHX,75,1842,680,349,163,67,33,179,42.3,73.1,-0.30,-1.06,-0.22,-0.67,-0.15,-0.32,0.82,-0.66,-0.15
