,,,Stats,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
72,Davion Mitchell,MIA/TOR,15,32.1,11.5,2.9,6.0,1.7,0.3,1.3,50.0,79.3,-0.09,-0.94,-1.10,0.92,1.37,-0.57,-0.44,0.09,-0.07
73,Chet Holmgren,OKC,11,28.5,14.9,7.0,2.2,0.5,1.4,1.5,48.3,77.8,-0.09,-0.35,0.48,-0.80,-1.08,1.48,-0.24,-0.13,-0.11
74,Keegan Murray,SAC,13,32.9,13.0,6.3,1.4,0.8,1.2,2.5,46.1,85.7,-0.09,-0.68,0.21,-1.16,-0.42,1.06,0.71,-0.40,-0.05
75,Julius Randle,MIN,14,31.8,17.7,6.5,4.6,0.6,0.3,1.9,52.5,72.9,-0.10,0.15,0.28,0.31,-0.86,-0.67,0.13,0.45,-0.59
76,Brook Lopez,MIL,16,32.5,14.4,5.0,1.9,0.4,1.5,1.4,57.4,75.9,-0.11,-0.43,-0.30,-0.94,-1.31,1.75,-0.34,0.95,-0.25
77,Aaron Nesmith,IND,15,26.5,14.9,4.5,0.8,1.0,0.3,2.5,53.8,93.9,-0.11,-0.34,-0.48,-1.42,-0.08,-0.57,0.64,0.51,0.85
78,Anthony Black,ORL,14,26.1,12.1,4.1,3.1,1.4,1.0,1.2,46.4,84.6,-0.11,-0.85,-0.63,-0.37,0.85,0.75,-0.55,-0.32,0.20
79,Alperen Sengun,HOU,13,32.4,18.8,10.2,4.8,0.9,0.9,0.1,47.2,68.8,-0.12,0.34,1.70,0.37,-0.25,0.60,-1.63,-0.42,-1.63
80,Collin Sexton,UTA,11,27.5,20.3,2.0,4.0,1.2,0.1,1.6,52.8,80.4,-0.12,0.61,-1.47,0.02,0.31,-1.06,-0.15,0.54,0.20
81,Zach LaVine,CHI/SAC,15,36.9,22.1,3.1,3.9,0.3,0.0,3.5,49.8,83.3,-0.13,0.92,-1.03,-0.04,-1.54,-1.24,1.59,0.02,0.30
82,Keon Ellis,SAC,16,29.3,8.7,3.2,2.2,1.8,0.8,1.9,51.1,82.4,-0.13,-1.45,-1.01,-0.80,1.69,0.26,0.14,0.18,-0.03
83,Scottie Barnes,TOR,13,28.7,17.7,7.0,5.3,1.2,0.6,1.0,45.6,68.4,-0.13,0.15,0.48,0.61,0.42,-0.01,-0.75,-0.69,-1.26
84,Kel'el Ware,MIA,16,27.8,12.0,10.2,1.0,0.6,1.3,0.5,58.4,58.8,-0.14,-0.86,1.72,-1.33,-0.90,1.25,-1.23,0.99,-0.73
85,Zach Edey,MEM,14,24.2,9.6,10.4,1.4,0.5,1.6,0.1,59.3,73.5,-0.14,-1.28,1.78,-1.14,-1.18,1.89,-1.57,0.80,-0.43
86,Tobias Harris,DET,10,27.8,12.6,4.8,2.1,1.4,0.8,1.2,50.5,81.8,-0.14,-0.75,-0.38,-0.84,0.79,0.36,-0.56,0.15,0.10
87,Jordan Poole,WAS,13,23.3,18.2,1.6,3.5,0.6,0.2,3.2,49.4,91.4,-0.15,0.23,-1.62,-0.19,-0.92,-0.93,1.37,-0.01,0.89
88,Justin Champagnie,WAS,16,29.4,12.0,8.1,1.1,1.4,0.6,1.6,53.8,59.1,-0.15,-0.86,0.92,-1.28,0.74,-0.12,-0.22,0.49,-0.88
89,P.J. Washington,DAL,10,32.0,17.9,6.2,2.1,0.8,1.0,1.7,54.6,66.7,-0.15,0.19,0.17,-0.84,-0.52,0.75,-0.09,0.71,-1.60
90,Jrue Holiday,BOS,11,31.5,11.5,4.3,5.2,1.3,0.4,1.6,43.4,94.1,-0.15,-0.96,-0.58,0.55,0.51,-0.51,-0.15,-0.64,0.55
91,Spencer Dinwiddie,DAL,13,33.3,13.8,3.8,7.8,1.2,0.2,1.5,42.4,78.2,-0.16,-0.53,-0.75,1.75,0.25,-0.78,-0.31,-0.85,-0.06
92,Kevin Huerter,CHI/SAC,14,32.9,14.5,3.2,4.0,1.0,0.4,2.8,49.7,66.7,-0.17,-0.42,-1.00,0.02,-0.08,-0.53,0.94,0.04,-0.31
93,Payton Pritchard,BOS,14,30.4,15.6,4.5,4.0,0.9,0.1,2.9,48.8,78.6,-0.18,-0.21,-0.49,0.02,-0.40,-1.09,1.01,-0.09,-0.14
94,Kevin Porter,LAC/MIL,16,23.4,13.4,4.9,4.3,1.3,0.0,1.1,48.0,87.9,-0.18,-0.61,-0.35,0.13,0.46,-1.24,-0.63,-0.13,0.91
95,Jared Butler,PHI/WAS,16,28.1,13.5,2.3,5.4,1.5,0.3,1.9,42.3,89.7,-0.19,-0.60,-1.37,0.64,1.01,-0.74,0.08,-0.96,0.45
96,Kyle Filipowski,UTA,15,26.9,13.7,8.5,1.9,0.9,0.8,1.5,47.6,68.8,-0.19,-0.55,1.07,-0.94,-0.23,0.36,-0.31,-0.23,-0.69
97,Alex Sarr,WAS,17,27.5,16.2,5.9,2.8,0.7,1.4,1.8,40.1,79.6,-0.19,-0.12,0.07,-0.54,-0.73,1.46,-0.03,-1.66,0.01
98,Justin Edwards,PHI,12,31.3,15.0,4.3,2.0,1.6,0.5,2.1,46.7,68.4,-0.19,-0.33,-0.59,-0.88,1.19,-0.24,0.28,-0.40,-0.57
99,Harrison Barnes,SAS,17,26.3,14.5,3.4,1.6,0.9,0.1,2.5,51.9,95.0,-0.20,-0.41,-0.92,-1.07,-0.21,-1.00,0.70,0.29,0.99
100,Brice Sensabaugh,UTA,15,25.5,14.2,4.1,2.2,0.9,0.2,3.3,47.7,82.6,-0.20,-0.47,-0.64,-0.79,-0.23,-0.84,1.46,-0.18,0.05
101,Jabari Smith,HOU,12,28.0,13.8,8.5,1.3,0.8,0.2,1.9,48.8,85.2,-0.21,-0.54,1.06,-1.22,-0.45,-0.90,0.12,-0.06,0.32
102,Ausar Thompson,DET,14,25.4,11.8,5.6,2.4,1.4,1.1,0.2,49.6,74.4,-0.22,-0.90,-0.05,-0.69,0.70,1.04,-1.50,0.05,-0.42
103,Cason Wallace,OKC,11,28.9,10.5,3.1,2.5,1.9,0.4,1.2,53.8,71.4,-0.23,-1.12,-1.04,-0.64,1.90,-0.51,-0.58,0.46,-0.28
104,Russell Westbrook,DEN,15,28.3,14.3,4.5,6.5,1.5,0.5,1.2,39.6,72.1,-0.23,-0.46,-0.48,1.13,1.08,-0.31,-0.56,-1.46,-0.76
105,Stephon Castle,SAS,17,31.0,18.6,5.6,6.5,0.8,0.4,1.2,42.6,74.5,-0.24,0.32,-0.07,1.13,-0.47,-0.42,-0.53,-1.19,-0.66
106,Donovan Clingan,POR,14,27.1,8.5,10.4,1.7,0.7,1.7,0.4,51.1,54.8,-0.24,-1.48,1.81,-1.01,-0.71,2.18,-1.30,0.18,-1.57
107,Jalen Duren,DET,14,26.7,13.1,10.1,3.4,0.4,1.0,0.0,66.7,61.0,-0.24,-0.66,1.70,-0.24,-1.33,0.75,-1.70,1.62,-2.09
108,Guerschon Yabusele,PHI,9,30.3,14.9,6.2,2.9,1.1,0.2,1.7,52.0,68.0,-0.25,-0.35,0.18,-0.48,0.16,-0.79,-0.12,0.34,-0.90
109,Jalen Green,HOU,15,31.5,20.4,4.9,4.1,0.9,0.4,2.5,41.2,75.0,-0.25,0.63,-0.35,0.05,-0.38,-0.44,0.70,-1.71,-0.47
